,model,init_conds,value
0,Glu_Growth_Glycolysis_C0,f6p_c,0.002423665031267937
1,Glu_Growth_Glycolysis_C0,E_ENO_c_2pg,1.6885051364279575e-06
2,Glu_Growth_Glycolysis_C0,E_ENO_c,2.0929197279106553e-07
3,Glu_Growth_Glycolysis_C0,_3pg_c,0.008481550370664151
4,Glu_Growth_Glycolysis_C0,E_PGMd_c_2pg,5.753707531795539e-07
5,Glu_Growth_Glycolysis_C0,E_PGMd_c_3pg,1.4735023589221997e-06
6,Glu_Growth_Glycolysis_C0,_2pg_c,0.001044623508006921
7,Glu_Growth_Glycolysis_C0,E_PGMd_c,5.226198614488111e-08
8,Glu_Growth_Glycolysis_C0,pep_c,0.0005946786610069089
9,Glu_Growth_Glycolysis_C0,E_PGMi_c_2pg,5.6324946060332604e-06
10,Glu_Growth_Glycolysis_C0,E_PGMi_c_3pg,2.8219010812813005e-05
11,Glu_Growth_Glycolysis_C0,pyr_c,0.0005133156374182473
12,Glu_Growth_Glycolysis_C0,E_PGMi_c,7.083357803631037e-07
13,Glu_Growth_Glycolysis_C0,E_PGK_c_3pg_atp,2.405792532819687e-06
14,Glu_Growth_Glycolysis_C0,amp_c,0.025604183239387093
15,Glu_Growth_Glycolysis_C0,E_PGK_c_13dpg_adp,6.11218626408483e-08
16,Glu_Growth_Glycolysis_C0,E_PGK_c_3pg,3.2207641952930153e-07
17,Glu_Growth_Glycolysis_C0,lac__D_c,0.003011546740237316
18,Glu_Growth_Glycolysis_C0,E_PGK_c_atp,7.040794118501117e-07
19,Glu_Growth_Glycolysis_C0,E_PGK_c_13dpg,4.524708442251813e-14
20,Glu_Growth_Glycolysis_C0,gdp_c,0.0008743879877912376
21,Glu_Growth_Glycolysis_C0,E_PGK_c_adp,3.375428791319583e-09
22,Glu_Growth_Glycolysis_C0,E_PGI_c,6.289207811727983e-07
23,Glu_Growth_Glycolysis_C0,E_PGK_c,4.2294585026310066e-07
24,Glu_Growth_Glycolysis_C0,E_GAPD_c_nad_g3p_pi,1.6635870723561498e-06
25,Glu_Growth_Glycolysis_C0,E_PGI_c_g6p,5.645411009285492e-06
26,Glu_Growth_Glycolysis_C0,nadh_c,1.0185067673515073e-05
27,Glu_Growth_Glycolysis_C0,E_ENO_c_pep,5.502184766646714e-06
28,Glu_Growth_Glycolysis_C0,E_LDH_D_c_nadh_pyr,7.063835432356065e-12
29,Glu_Growth_Glycolysis_C0,E_PYK1_c,3.2406142948940366e-08
30,Glu_Growth_Glycolysis_C0,adp_c,0.001399315076804766
31,Glu_Growth_Glycolysis_C0,E_LDH_D_c,4.896450820566906e-08
32,Glu_Growth_Glycolysis_C0,E_PPS_c_pep_amp_pi,1.1451041300497285e-08
33,Glu_Growth_Glycolysis_C0,atp_c,0.026114158321226252
34,Glu_Growth_Glycolysis_C0,E_PPS_c_pep_amp,0.0012064991812870361
35,Glu_Growth_Glycolysis_C0,E_PPS_c_pyr_atp,6.186293025755493e-07
36,Glu_Growth_Glycolysis_C0,fdp_c,0.036170449639535904
37,Glu_Growth_Glycolysis_C0,E_PPS_c_pep,3.620223245056833e-07
38,Glu_Growth_Glycolysis_C0,E_PPS_c_pyr,2.5623373941003866e-09
39,Glu_Growth_Glycolysis_C0,h_c,1.0
40,Glu_Growth_Glycolysis_C0,E_PPS_c,7.525018721971891e-08
41,Glu_Growth_Glycolysis_C0,h2o_c,1.0
42,Glu_Growth_Glycolysis_C0,E_GAPD_c_nadh_13dpg,1.768427729444762e-09
43,Glu_Growth_Glycolysis_C0,E_PYK2_c_pyr_atp,1.1869355192958984e-07
44,Glu_Growth_Glycolysis_C0,pi_c,0.0012512926733101173
45,Glu_Growth_Glycolysis_C0,E_PYK2_c_atp,6.3799754983072415e-06
46,Glu_Growth_Glycolysis_C0,E_PYK2_c_adp,8.014615200238327e-05
47,Glu_Growth_Glycolysis_C0,dhap_c,0.010789164600331379
48,Glu_Growth_Glycolysis_C0,E_PYK2_c,7.354332379740927e-06
49,Glu_Growth_Glycolysis_C0,E_PYK1_c_pyr_atp,3.007892773026676e-06
50,Glu_Growth_Glycolysis_C0,g3p_c,0.00027460194341076186
51,Glu_Growth_Glycolysis_C0,E_PYK1_c_pep_adp,5.4387610208678824e-14
52,Glu_Growth_Glycolysis_C0,E_PYK1_c_atp,0.001545053532043826
53,Glu_Growth_Glycolysis_C0,_13dpg_c,0.0007718495278163866
54,Glu_Growth_Glycolysis_C0,E_PYK1_c_adp,8.759422751941879e-08
55,Glu_Growth_Glycolysis_C0,nad_c,0.06560562665540196
56,Glu_Growth_Glycolysis_C0,E_PYK2_c_pep_adp,3.0104799291433936e-12
57,Glu_Growth_Glycolysis_C0,E_LDH_D_c_lac__D,4.080867687002877e-12
58,Glu_Growth_Glycolysis_C0,E_GAPD_c_nad_g3p,1.6141971598942014e-06
59,Glu_Growth_Glycolysis_C0,E_GAPD_c_nadh,1.96207059124313e-06
60,Glu_Growth_Glycolysis_C0,E_FBP1_c_fdp,3.8152293227506775e-10
61,Glu_Growth_Glycolysis_C0,E_PFK1_c_f6p_gdp_gdp,3.0063001153268906e-38
62,Glu_Growth_Glycolysis_C0,E_FBP1_c,4.974544316849221e-10
63,Glu_Growth_Glycolysis_C0,E_PFK2_c_fdp_adp,1.3800987301715328e-06
64,Glu_Growth_Glycolysis_C0,E_PFK1_c_fdp_gdp_gdp,1.4071044091467542e-42
65,Glu_Growth_Glycolysis_C0,E_PFK2_c_f6p_atp,2.672125032686434e-13
66,Glu_Growth_Glycolysis_C0,E_PFK2_c_fdp,7.902563123366817e-05
67,Glu_Growth_Glycolysis_C0,E_PFK1_c_f6p_atp_gdp_gdp,9.67287374247187e-30
68,Glu_Growth_Glycolysis_C0,E_PFK2_c_f6p,6.261746630575162e-10
69,Glu_Growth_Glycolysis_C0,E_PFK1_c_fdp_adp_gdp_gdp,5.128655074872875e-36
70,Glu_Growth_Glycolysis_C0,E_PFK2_c,8.915451973622111e-09
71,Glu_Growth_Glycolysis_C0,E_PFK1_T_c_pep_pep_pep_pep,1.037090334591818e-14
72,Glu_Growth_Glycolysis_C0,E_PFK1_c_gdp_gdp_gdp,3.6329631356578933e-50
73,Glu_Growth_Glycolysis_C0,E_PFK1_T_c_pep_pep_pep,5.231834441278903e-14
74,Glu_Growth_Glycolysis_C0,E_PFK1_T_c_pep_pep,9.897435175589195e-14
75,Glu_Growth_Glycolysis_C0,E_PFK1_c_f6p_gdp_gdp_gdp,7.527452811365835e-50
76,Glu_Growth_Glycolysis_C0,E_PFK1_T_c_pep,8.321638032995869e-14
77,Glu_Growth_Glycolysis_C0,E_PFK1_T_c,2.62377291403053e-14
78,Glu_Growth_Glycolysis_C0,E_PFK1_c_fdp_gdp_gdp_gdp,1.1087690683268049e-58
79,Glu_Growth_Glycolysis_C0,E_PFK1_c_fdp_adp_gdp_gdp_gdp_gdp,5.659215398550337e-74
80,Glu_Growth_Glycolysis_C0,E_PFK1_c_f6p_atp_gdp_gdp_gdp_gdp,3.4020084820290244e-69
81,Glu_Growth_Glycolysis_C0,E_PFK1_c_f6p_atp_gdp_gdp_gdp,9.359805773340447e-47
82,Glu_Growth_Glycolysis_C0,E_PFK1_c_fdp_gdp_gdp_gdp_gdp,8.826237708045215e-69
83,Glu_Growth_Glycolysis_C0,E_PFK1_c_fdp_adp_gdp_gdp_gdp,1.2750905535174718e-56
84,Glu_Growth_Glycolysis_C0,E_PFK1_c_f6p_gdp_gdp_gdp_gdp,1.9481820932986025e-67
85,Glu_Growth_Glycolysis_C0,E_FBP1_c_f6p,1.1617925797359557e-06
86,Glu_Growth_Glycolysis_C0,E_PFK1_c_gdp_gdp,1.2320088411475668e-35
87,Glu_Growth_Glycolysis_C0,E_FBP1_c_f6p_pi,1.0388280128125692e-07
88,Glu_Growth_Glycolysis_C0,E_FBP2_c,0.0001634359842284943
89,Glu_Growth_Glycolysis_C0,E_GAPD_c_nad,0.0466834049503541
90,Glu_Growth_Glycolysis_C0,E_PFK1_c,1.049507925788973e-07
91,Glu_Growth_Glycolysis_C0,E_GAPD_c,2.753859741499791e-07
92,Glu_Growth_Glycolysis_C0,E_PFK1_c_f6p,1.1881466372656835e-06
93,Glu_Growth_Glycolysis_C0,E_TPI_c_g3p,1.6006604303232806e-05
94,Glu_Growth_Glycolysis_C0,E_TPI_c_dhap,1.015800100114902e-05
95,Glu_Growth_Glycolysis_C0,E_PFK1_c_fdp,0.01800097754265542
96,Glu_Growth_Glycolysis_C0,E_TPI_c,3.114868827459807e-08
97,Glu_Growth_Glycolysis_C0,E_FBA2_c_dhap_g3p,6.130679284084673e-12
98,Glu_Growth_Glycolysis_C0,E_PFK1_c_f6p_atp,7.792093488033363e-11
