,model,init_conds,value
0,Pyr_Growth_Glycolysis_C0,f6p_c,0.00253773161006647
1,Pyr_Growth_Glycolysis_C0,E_ENO_c_2pg,1.0339064360834032e-07
2,Pyr_Growth_Glycolysis_C0,E_ENO_c,3.1824425559345434e-08
3,Pyr_Growth_Glycolysis_C0,_3pg_c,0.0012325987367042056
4,Pyr_Growth_Glycolysis_C0,E_PGMd_c_2pg,3.906914111314457e-09
5,Pyr_Growth_Glycolysis_C0,E_PGMd_c_3pg,4.410602396062618e-09
6,Pyr_Growth_Glycolysis_C0,_2pg_c,0.00041316535273454465
7,Pyr_Growth_Glycolysis_C0,E_PGMd_c,9.12180991477844e-10
8,Pyr_Growth_Glycolysis_C0,pep_c,0.006505636905551608
9,Pyr_Growth_Glycolysis_C0,E_PGMi_c_2pg,4.019127705816839e-06
10,Pyr_Growth_Glycolysis_C0,E_PGMi_c_3pg,1.195547417478383e-05
11,Pyr_Growth_Glycolysis_C0,pyr_c,6.649885619841295e-05
12,Pyr_Growth_Glycolysis_C0,E_PGMi_c,1.2836289067278367e-06
13,Pyr_Growth_Glycolysis_C0,E_PGK_c_3pg_atp,7.2126324878489e-06
14,Pyr_Growth_Glycolysis_C0,amp_c,0.000468852254345254
15,Pyr_Growth_Glycolysis_C0,E_PGK_c_13dpg_adp,3.139940237098302e-08
16,Pyr_Growth_Glycolysis_C0,E_PGK_c_3pg,7.112895074201499e-07
17,Pyr_Growth_Glycolysis_C0,lac__D_c,0.00021493003425569792
18,Pyr_Growth_Glycolysis_C0,E_PGK_c_atp,1.4524871504439533e-05
19,Pyr_Growth_Glycolysis_C0,E_PGK_c_13dpg,1.621517159947781e-13
20,Pyr_Growth_Glycolysis_C0,gdp_c,9.404535501287114e-05
21,Pyr_Growth_Glycolysis_C0,E_PGK_c_adp,3.730204610241983e-09
22,Pyr_Growth_Glycolysis_C0,E_PGI_c,1.1811659339514412e-07
23,Pyr_Growth_Glycolysis_C0,E_PGK_c,6.500573051761378e-06
24,Pyr_Growth_Glycolysis_C0,E_GAPD_c_nad_g3p_pi,1.0896520478996886e-09
25,Pyr_Growth_Glycolysis_C0,E_PGI_c_g6p,4.475165967553984e-07
26,Pyr_Growth_Glycolysis_C0,nadh_c,0.000411519459669768
27,Pyr_Growth_Glycolysis_C0,E_ENO_c_pep,8.353265725885517e-06
28,Pyr_Growth_Glycolysis_C0,E_LDH_D_c_nadh_pyr,2.403324145447789e-08
29,Pyr_Growth_Glycolysis_C0,E_PYK1_c,3.9005424927352254e-07
30,Pyr_Growth_Glycolysis_C0,adp_c,9.684148568901248e-05
31,Pyr_Growth_Glycolysis_C0,E_LDH_D_c,0.00010419656110595989
32,Pyr_Growth_Glycolysis_C0,E_PPS_c_pep_amp_pi,4.45148857087699e-09
33,Pyr_Growth_Glycolysis_C0,atp_c,0.03545313204956588
34,Pyr_Growth_Glycolysis_C0,E_PPS_c_pep_amp,0.0006723288477538941
35,Pyr_Growth_Glycolysis_C0,E_PPS_c_pyr_atp,1.2993486806350144e-06
36,Pyr_Growth_Glycolysis_C0,fdp_c,4.707267484189095e-05
37,Pyr_Growth_Glycolysis_C0,E_PPS_c_pep,1.1016709729936116e-05
38,Pyr_Growth_Glycolysis_C0,E_PPS_c_pyr,4.86821881150237e-09
39,Pyr_Growth_Glycolysis_C0,h_c,1.0
40,Pyr_Growth_Glycolysis_C0,E_PPS_c,6.79654968403776e-06
41,Pyr_Growth_Glycolysis_C0,h2o_c,1.0
42,Pyr_Growth_Glycolysis_C0,E_GAPD_c_nadh_13dpg,1.23782751263302e-12
43,Pyr_Growth_Glycolysis_C0,E_PYK2_c_pyr_atp,2.6696190772547733e-10
44,Pyr_Growth_Glycolysis_C0,pi_c,0.0008728589122029094
45,Pyr_Growth_Glycolysis_C0,E_PYK2_c_atp,2.2022906554565528e-08
46,Pyr_Growth_Glycolysis_C0,E_PYK2_c_adp,1.659480303035411e-08
47,Pyr_Growth_Glycolysis_C0,dhap_c,0.001988335785054787
48,Pyr_Growth_Glycolysis_C0,E_PYK2_c,4.253005886523075e-08
49,Pyr_Growth_Glycolysis_C0,E_PYK1_c_pyr_atp,6.367086531848684e-06
50,Pyr_Growth_Glycolysis_C0,g3p_c,0.0006651188019957009
51,Pyr_Growth_Glycolysis_C0,E_PYK1_c_pep_adp,5.558193916793504e-14
52,Pyr_Growth_Glycolysis_C0,E_PYK1_c_atp,0.025245982027081445
53,Pyr_Growth_Glycolysis_C0,_13dpg_c,0.00017996708398929957
54,Pyr_Growth_Glycolysis_C0,E_PYK1_c_adp,8.144685285086933e-09
55,Pyr_Growth_Glycolysis_C0,nad_c,0.027972023240829404
56,Pyr_Growth_Glycolysis_C0,E_PYK2_c_pep_adp,6.817614750872058e-15
57,Pyr_Growth_Glycolysis_C0,E_LDH_D_c_lac__D,1.2475602060059183e-08
58,Pyr_Growth_Glycolysis_C0,E_GAPD_c_nad_g3p,1.4553126471121334e-09
59,Pyr_Growth_Glycolysis_C0,E_GAPD_c_nadh,6.303382076634931e-09
60,Pyr_Growth_Glycolysis_C0,E_FBP1_c_fdp,4.722724239129202e-10
61,Pyr_Growth_Glycolysis_C0,E_PFK1_c_f6p_gdp_gdp,2.0019669102962416e-41
62,Pyr_Growth_Glycolysis_C0,E_FBP1_c,4.731629445177413e-07
63,Pyr_Growth_Glycolysis_C0,E_PFK2_c_fdp_adp,3.535793579518543e-10
64,Pyr_Growth_Glycolysis_C0,E_PFK1_c_fdp_gdp_gdp,1.1650939636148208e-48
65,Pyr_Growth_Glycolysis_C0,E_PFK2_c_f6p_atp,6.892288958488482e-17
66,Pyr_Growth_Glycolysis_C0,E_PFK2_c_fdp,3.602495374587961e-11
