,model,fluxes,value
0,Pyr_Growth_Glycolysis_C0,SK_f6p_c,0.06666531803303248
1,Pyr_Growth_Glycolysis_C0,SK_lac__D_c,0.13705004391694495
2,Pyr_Growth_Glycolysis_C0,PYK12,0.18838167350622825
3,Pyr_Growth_Glycolysis_C0,PYK11,0.18838167350616644
4,Pyr_Growth_Glycolysis_C0,PGI1,-0.17360899819876252
5,Pyr_Growth_Glycolysis_C0,ENO3,-0.3016702003440284
6,Pyr_Growth_Glycolysis_C0,PGI2,-0.1736089981987643
7,Pyr_Growth_Glycolysis_C0,ENO2,-0.30167020034402725
8,Pyr_Growth_Glycolysis_C0,PGI3,-0.1736089981987617
9,Pyr_Growth_Glycolysis_C0,ENO1,-0.30167020034402725
10,Pyr_Growth_Glycolysis_C0,PFK11,0.036716061368240856
11,Pyr_Growth_Glycolysis_C0,PGMd3,-0.002819322997961003
12,Pyr_Growth_Glycolysis_C0,PGMd2,-0.002819322997961171
13,Pyr_Growth_Glycolysis_C0,PYK13,0.1883816735061665
14,Pyr_Growth_Glycolysis_C0,PFK12,0.03671606136824079
15,Pyr_Growth_Glycolysis_C0,PFK13,0.03671606136824083
16,Pyr_Growth_Glycolysis_C0,PGMi3,-0.2988508773460672
17,Pyr_Growth_Glycolysis_C0,PFK14,0.03671606136824085
18,Pyr_Growth_Glycolysis_C0,PGMi2,-0.2988508773460694
19,Pyr_Growth_Glycolysis_C0,PFK15,0.03671606136824086
20,Pyr_Growth_Glycolysis_C0,PGMi1,-0.2988508773460672
21,Pyr_Growth_Glycolysis_C0,PGK9,-0.18841196997371812
22,Pyr_Growth_Glycolysis_C0,PFK11_84,1.6049276529262515e-28
23,Pyr_Growth_Glycolysis_C0,PGK8,-0.18841191483079456
24,Pyr_Growth_Glycolysis_C0,PFK12_84,8.448700294917036e-27
25,Pyr_Growth_Glycolysis_C0,PGK7,-5.513734685491656e-08
26,Pyr_Growth_Glycolysis_C0,PFK13_84,-1.2690985195055754e-24
27,Pyr_Growth_Glycolysis_C0,PGMd1,-0.0028193229979610046
28,Pyr_Growth_Glycolysis_C0,PGK6,-6.733679176968214e-10
29,Pyr_Growth_Glycolysis_C0,SK_amp_c,0.5850462310908583
30,Pyr_Growth_Glycolysis_C0,SK_pyr_c,0.5324382433854089
31,Pyr_Growth_Glycolysis_C0,LDH_D3,-0.1370500439169433
32,Pyr_Growth_Glycolysis_C0,SK_atp_c,0.6207078826812098
33,Pyr_Growth_Glycolysis_C0,LDH_D2,-0.1370500439169442
34,Pyr_Growth_Glycolysis_C0,SK_fdp_c,-2.5080097838888722e-17
35,Pyr_Growth_Glycolysis_C0,LDH_D1,-0.13705004391694492
36,Pyr_Growth_Glycolysis_C0,PPS6,0.5850462310918374
37,Pyr_Growth_Glycolysis_C0,SK_h_c,0.0
38,Pyr_Growth_Glycolysis_C0,PPS5,0.5850462310908584
39,Pyr_Growth_Glycolysis_C0,SK_h2o_c,0.0
40,Pyr_Growth_Glycolysis_C0,PPS4,0.5850462310954754
41,Pyr_Growth_Glycolysis_C0,SK_pi_c,0.9173095944693336
42,Pyr_Growth_Glycolysis_C0,PPS3,0.5850462310908582
43,Pyr_Growth_Glycolysis_C0,PYK14,0.18838167283684015
44,Pyr_Growth_Glycolysis_C0,SK_dhap_c,-0.016895159381520544
45,Pyr_Growth_Glycolysis_C0,PPS1,0.5850462310908583
46,Pyr_Growth_Glycolysis_C0,SK_g3p_c,0.008580230976219645
47,Pyr_Growth_Glycolysis_C0,PYK25,0.0012763581162278752
48,Pyr_Growth_Glycolysis_C0,SK_nad_c,0.32546201389066326
49,Pyr_Growth_Glycolysis_C0,PYK24,0.0012763581162278752
50,Pyr_Growth_Glycolysis_C0,SK_nadh_c,0.3254620138906632
51,Pyr_Growth_Glycolysis_C0,PYK23,0.0012763581162278728
52,Pyr_Growth_Glycolysis_C0,SK__3pg_c,0.11325823037031019
53,Pyr_Growth_Glycolysis_C0,PYK22,0.0012763581162278754
54,Pyr_Growth_Glycolysis_C0,PYK21,0.0012763581162278756
55,Pyr_Growth_Glycolysis_C0,SK_pep_c,0.09371799912443553
56,Pyr_Growth_Glycolysis_C0,PYK15,0.18838167350616647
57,Pyr_Growth_Glycolysis_C0,PPS2,0.5850462310908585
58,Pyr_Growth_Glycolysis_C0,PFK14_84,-4.1631823828889996e-27
59,Pyr_Growth_Glycolysis_C0,PGK5,-0.1884119693003501
60,Pyr_Growth_Glycolysis_C0,PGK4,-0.1884119148363652
61,Pyr_Growth_Glycolysis_C0,PFK14_87,-1.6442695534695722e-41
62,Pyr_Growth_Glycolysis_C0,FBA13,-0.10660597156224
63,Pyr_Growth_Glycolysis_C0,PFK15_87,1.494120424444999e-43
64,Pyr_Growth_Glycolysis_C0,FBA12,-0.10660597156265794
65,Pyr_Growth_Glycolysis_C0,FBA11,-0.10660597156223997
66,Pyr_Growth_Glycolysis_C0,PFK1_Activation_gdp_88,-8.28777267025195e-27
67,Pyr_Growth_Glycolysis_C0,FBP24,0.00021588788635862333
68,Pyr_Growth_Glycolysis_C0,PFK1_Activation_gdp_89,1.2529123095723277e-35
69,Pyr_Growth_Glycolysis_C0,FBP23,0.00021588788635857074
70,Pyr_Growth_Glycolysis_C0,PFK1_Activation_gdp_90,9.373510063946406e-51
71,Pyr_Growth_Glycolysis_C0,FBP22,0.00021588788635857042
72,Pyr_Growth_Glycolysis_C0,PFK1_Activation_gdp_91,3.568351610471867e-51
73,Pyr_Growth_Glycolysis_C0,FBA14,-0.10660597156223917
74,Pyr_Growth_Glycolysis_C0,FBP21,0.00021588788635857085
75,Pyr_Growth_Glycolysis_C0,FBP14,0.1436355055183185
76,Pyr_Growth_Glycolysis_C0,FBP13,0.1436355055183982
77,Pyr_Growth_Glycolysis_C0,PFK1_Inhibition_pep_93,-1.0339757656912846e-25
78,Pyr_Growth_Glycolysis_C0,FBP12,0.1436355055183982
79,Pyr_Growth_Glycolysis_C0,PFK1_Inhibition_pep_94,0.0
80,Pyr_Growth_Glycolysis_C0,FBP11,0.14363550551838955
81,Pyr_Growth_Glycolysis_C0,PFK1_Inhibition_pep_95,3.308722450212111e-24
82,Pyr_Growth_Glycolysis_C0,PFK25,0.00019165187078669285
83,Pyr_Growth_Glycolysis_C0,PFK1_TransitionStep,8.673617379884035e-19
84,Pyr_Growth_Glycolysis_C0,PFK24,0.00019165187078669282
85,Pyr_Growth_Glycolysis_C0,PFK23,0.00019165187078669285
86,Pyr_Growth_Glycolysis_C0,PFK21,0.0001916518707866928
87,Pyr_Growth_Glycolysis_C0,PFK1_Inhibition_pep_92,-1.4217166778255163e-25
88,Pyr_Growth_Glycolysis_C0,PFK13_87,1.4934667875054757e-43
89,Pyr_Growth_Glycolysis_C0,FBA21,-0.0003377086034892507
90,Pyr_Growth_Glycolysis_C0,PFK12_87,1.4941203887614134e-43
91,Pyr_Growth_Glycolysis_C0,PFK15_84,-1.082295591547851e-25
92,Pyr_Growth_Glycolysis_C0,PGK3,-5.513734684727293e-08
93,Pyr_Growth_Glycolysis_C0,PFK11_85,1.2528785238459633e-35
94,Pyr_Growth_Glycolysis_C0,PGK2,-6.733679178486107e-10
95,Pyr_Growth_Glycolysis_C0,PFK12_85,1.0167172690763171e-41
96,Pyr_Growth_Glycolysis_C0,PGK1,-0.18841196930034698
97,Pyr_Growth_Glycolysis_C0,PFK13_85,1.2529133398455919e-35
98,Pyr_Growth_Glycolysis_C0,GAPD6,-0.18841196997371812
99,Pyr_Growth_Glycolysis_C0,GAPD5,-0.18841196997371856
100,Pyr_Growth_Glycolysis_C0,PFK14_85,1.0167172470927351e-41
101,Pyr_Growth_Glycolysis_C0,GAPD4,-0.18841196997371767
102,Pyr_Growth_Glycolysis_C0,PFK15_85,1.677233837710028e-41
103,Pyr_Growth_Glycolysis_C0,GAPD3,-0.18841196997345833
104,Pyr_Growth_Glycolysis_C0,PFK11_86,1.473632607910299e-44
105,Pyr_Growth_Glycolysis_C0,GAPD2,-0.18841196997371823
106,Pyr_Growth_Glycolysis_C0,PFK12_86,-6.58813827911898e-52
107,Pyr_Growth_Glycolysis_C0,GAPD1,-0.18841196997371834
108,Pyr_Growth_Glycolysis_C0,TPI3,-0.09004852082580328
109,Pyr_Growth_Glycolysis_C0,PFK13_86,-1.5738073974307266e-41
110,Pyr_Growth_Glycolysis_C0,TPI2,-0.09004852078420869
111,Pyr_Growth_Glycolysis_C0,PFK14_86,-9.109901563757313e-52
112,Pyr_Growth_Glycolysis_C0,TPI1,-0.090048520784201
113,Pyr_Growth_Glycolysis_C0,PFK15_86,-6.588130633439718e-52
114,Pyr_Growth_Glycolysis_C0,FBA24,-0.00033770860348924787
115,Pyr_Growth_Glycolysis_C0,PFK11_87,1.7371923560775286e-41
116,Pyr_Growth_Glycolysis_C0,FBA23,-0.0003377086034892479
117,Pyr_Growth_Glycolysis_C0,FBA22,-0.0003377086034892507
118,Pyr_Growth_Glycolysis_C0,SK_adp_c,0.035661651590351486
119,Pyr_Growth_Glycolysis_C0,LDH_D4,-0.13705004391694492
120,Pyr_Growth_Glycolysis_C0,PFK22,0.00019165187078669285
121,Pyr_Growth_Glycolysis_C0,SK_g6p_c,0.17360899819876172
122,Pyr_Growth_Glycolysis_C0,LDH_D5,-0.13705004391694495
123,Pyr_Growth_Glycolysis_C1,TPI3,-0.0898641018429771
124,Pyr_Growth_Glycolysis_C1,PFK12_86,-2.982823313471589e-53
125,Pyr_Growth_Glycolysis_C1,GAPD2,-0.18630387886455996
126,Pyr_Growth_Glycolysis_C1,FBP21,0.0004770169329081725
127,Pyr_Growth_Glycolysis_C1,SK_amp_c,0.6873322377009051
128,Pyr_Growth_Glycolysis_C1,SK_nad_c,0.32870160179563684
129,Pyr_Growth_Glycolysis_C1,PGK9,-0.1863038788645599
130,Pyr_Growth_Glycolysis_C1,PFK1_Inhibition_pep_95,-8.131516293641283e-20
131,Pyr_Growth_Glycolysis_C1,PFK11_84,4.237270635577651e-28
132,Pyr_Growth_Glycolysis_C1,PFK11_86,2.573978067309585e-48
133,Pyr_Growth_Glycolysis_C1,GAPD3,-0.1863038788646918
134,Pyr_Growth_Glycolysis_C1,PYK14,0.2097252905368805
135,Pyr_Growth_Glycolysis_C1,FBP11,0.15867575628801944
136,Pyr_Growth_Glycolysis_C1,SK_fdp_c,-2.125585946221438e-17
137,Pyr_Growth_Glycolysis_C1,PGMi1,-0.30735548023061376
138,Pyr_Growth_Glycolysis_C1,SK_g6p_c,0.12744490749368384
139,Pyr_Growth_Glycolysis_C1,PFK15,0.05511403925328402
140,Pyr_Growth_Glycolysis_C1,PYK25,0.001107165754018498
141,Pyr_Growth_Glycolysis_C1,TPI1,-0.0898641018755626
142,Pyr_Growth_Glycolysis_C1,SK_adp_c,0.030879097510243345
143,Pyr_Growth_Glycolysis_C1,PPS1,0.6873322377009051
144,Pyr_Growth_Glycolysis_C1,PFK14_86,-2.982820515058036e-53
145,Pyr_Growth_Glycolysis_C1,PGMi3,-0.30735548023061354
146,Pyr_Growth_Glycolysis_C1,PFK14,0.055114039253282954
147,Pyr_Growth_Glycolysis_C1,TPI2,-0.08986410187556049
148,Pyr_Growth_Glycolysis_C1,SK_g3p_c,0.0073053219917142715
149,Pyr_Growth_Glycolysis_C1,PYK13,0.2097252898405106
150,Pyr_Growth_Glycolysis_C1,FBP22,0.00047701693290817256
151,Pyr_Growth_Glycolysis_C1,PFK13_86,1.8170465387235568e-48
152,Pyr_Growth_Glycolysis_C1,PFK1_Activation_gdp_91,6.975886921738733e-61
153,Pyr_Growth_Glycolysis_C1,PFK25,0.00029363498692844015
154,Pyr_Growth_Glycolysis_C1,PGMi2,-0.3073554802306262
155,Pyr_Growth_Glycolysis_C1,GAPD1,-0.1863038788645599
156,Pyr_Growth_Glycolysis_C1,LDH_D1,-0.14239772293107705
157,Pyr_Growth_Glycolysis_C1,PYK24,0.0011071657540184983
158,Pyr_Growth_Glycolysis_C1,PGK8,-0.18630387795565184
159,Pyr_Growth_Glycolysis_C1,PFK12_84,-9.718766352322865e-28
160,Pyr_Growth_Glycolysis_C1,PFK1_Inhibition_pep_94,0.0
161,Pyr_Growth_Glycolysis_C1,FBP12,0.15867575628801805
162,Pyr_Growth_Glycolysis_C1,SK__3pg_c,0.1239455329454158
163,Pyr_Growth_Glycolysis_C1,FBP13,0.158675756288018
164,Pyr_Growth_Glycolysis_C1,PFK1_Inhibition_pep_93,1.5881867761018131e-21
165,Pyr_Growth_Glycolysis_C1,PYK22,0.001107165754018498
166,Pyr_Growth_Glycolysis_C1,PGK5,-0.1863038782102221
167,Pyr_Growth_Glycolysis_C1,SK_atp_c,0.7182113352111487
168,Pyr_Growth_Glycolysis_C1,PFK12_85,-1.8821218008531053e-26
169,Pyr_Growth_Glycolysis_C1,PGK2,-6.5433774924014e-10
170,Pyr_Growth_Glycolysis_C1,SK_pep_c,0.1662503702964005
171,Pyr_Growth_Glycolysis_C1,PGK4,-0.18630387796747527
172,Pyr_Growth_Glycolysis_C1,PFK15_84,-2.6848942538955357e-27
173,Pyr_Growth_Glycolysis_C1,PFK11_85,9.999071078875535e-33
174,Pyr_Growth_Glycolysis_C1,PGK3,-8.969473948260956e-10
175,Pyr_Growth_Glycolysis_C1,PFK14_84,-9.745538273879254e-28
176,Pyr_Growth_Glycolysis_C1,LDH_D2,-0.14239772293107578
177,Pyr_Growth_Glycolysis_C1,PGK6,-6.543377493574636e-10
178,Pyr_Growth_Glycolysis_C1,PGK1,-0.18630387821025352
179,Pyr_Growth_Glycolysis_C1,PFK15_85,1.078036769555308e-36
180,Pyr_Growth_Glycolysis_C1,GAPD4,-0.1863038788645599
181,Pyr_Growth_Glycolysis_C1,SK_nadh_c,0.3287016017956369
182,Pyr_Growth_Glycolysis_C1,LDH_D3,-0.14239772293107933
183,Pyr_Growth_Glycolysis_C1,FBP14,0.15867575628806208
184,Pyr_Growth_Glycolysis_C1,PFK1_Inhibition_pep_92,1.6216875909102108e-21
185,Pyr_Growth_Glycolysis_C1,SK_pyr_c,0.6188975050374533
186,Pyr_Growth_Glycolysis_C1,LDH_D5,-0.14239772293107705
187,Pyr_Growth_Glycolysis_C1,PFK14_85,1.0282297825224177e-36
188,Pyr_Growth_Glycolysis_C1,PGK7,-8.969473982989307e-10
189,Pyr_Growth_Glycolysis_C1,PFK13_84,8.170493705548874e-25
190,Pyr_Growth_Glycolysis_C1,GAPD6,-0.1863038788645599
191,Pyr_Growth_Glycolysis_C1,PYK15,0.20972528984051053
192,Pyr_Growth_Glycolysis_C1,PYK23,0.001107165754018499
193,Pyr_Growth_Glycolysis_C1,PFK22,0.00029363498692843576
194,Pyr_Growth_Glycolysis_C1,PFK13_85,2.1531777354354114e-33
195,Pyr_Growth_Glycolysis_C1,GAPD5,-0.18630387886455968
196,Pyr_Growth_Glycolysis_C1,SK_lac__D_c,0.142397722931077
197,Pyr_Growth_Glycolysis_C1,PYK21,0.001107165754018498
198,Pyr_Growth_Glycolysis_C1,PFK11,0.05511403925328401
199,Pyr_Growth_Glycolysis_C1,SK_h_c,0.0
200,Pyr_Growth_Glycolysis_C1,PFK12,0.055114039253282954
201,Pyr_Growth_Glycolysis_C1,PFK15_87,-1.951662579302551e-68
202,Pyr_Growth_Glycolysis_C1,SK_f6p_c,0.023699808512970093
203,Pyr_Growth_Glycolysis_C1,ENO2,-0.3102494118099912
204,Pyr_Growth_Glycolysis_C1,FBA23,-0.0004258144499082113
205,Pyr_Growth_Glycolysis_C1,FBA13,-0.10331928453080548
206,Pyr_Growth_Glycolysis_C1,PGI3,-0.12744490749368384
207,Pyr_Growth_Glycolysis_C1,FBA22,-0.00042581444990830164
208,Pyr_Growth_Glycolysis_C1,PFK12_87,-1.9860949832163402e-68
209,Pyr_Growth_Glycolysis_C1,PYK11,0.20972528984051053
210,Pyr_Growth_Glycolysis_C1,PPS3,0.6873322377009052
211,Pyr_Growth_Glycolysis_C1,PPS4,0.6873322377068689
212,Pyr_Growth_Glycolysis_C1,PGI1,-0.12744490749368254
213,Pyr_Growth_Glycolysis_C1,PFK14_87,-1.9848368825807706e-68
214,Pyr_Growth_Glycolysis_C1,PGMd3,-0.002893931579361861
215,Pyr_Growth_Glycolysis_C1,PFK15_86,-3.101970669244155e-53
216,Pyr_Growth_Glycolysis_C1,FBA21,-0.00042581444990741346
217,Pyr_Growth_Glycolysis_C1,FBA14,-0.10331928453080552
218,Pyr_Growth_Glycolysis_C1,PFK13_87,-3.790455827085592e-67
219,Pyr_Growth_Glycolysis_C1,ENO1,-0.3102494118099699
220,Pyr_Growth_Glycolysis_C1,FBP24,0.0004770169329081364
221,Pyr_Growth_Glycolysis_C1,SK_pi_c,1.0327888897863915
222,Pyr_Growth_Glycolysis_C1,PFK23,0.00029363498692844
223,Pyr_Growth_Glycolysis_C1,PFK1_Activation_gdp_89,1.882122016206279e-26
224,Pyr_Growth_Glycolysis_C1,LDH_D4,-0.14239772293107705
225,Pyr_Growth_Glycolysis_C1,SK_dhap_c,-0.01388099710515326
226,Pyr_Growth_Glycolysis_C1,PGMd2,-0.002893931579361797
227,Pyr_Growth_Glycolysis_C1,PFK21,0.0002936349869284401
228,Pyr_Growth_Glycolysis_C1,PFK11_87,4.442545255813942e-61
229,Pyr_Growth_Glycolysis_C1,SK_h2o_c,0.0
230,Pyr_Growth_Glycolysis_C1,FBA24,-0.00042581444990821143
231,Pyr_Growth_Glycolysis_C1,PPS6,0.687332237699593
232,Pyr_Growth_Glycolysis_C1,PFK1_Activation_gdp_88,2.0245326271592047e-26
233,Pyr_Growth_Glycolysis_C1,FBA12,-0.10331928453160799
234,Pyr_Growth_Glycolysis_C1,PPS2,0.6873322377009052
235,Pyr_Growth_Glycolysis_C1,PFK1_TransitionStep,-1.3877787807814457e-17
236,Pyr_Growth_Glycolysis_C1,PGI2,-0.1274449074936861
237,Pyr_Growth_Glycolysis_C1,PFK13,0.05511403925328401
238,Pyr_Growth_Glycolysis_C1,FBA11,-0.10331928453080558
239,Pyr_Growth_Glycolysis_C1,ENO3,-0.3102494118099757
240,Pyr_Growth_Glycolysis_C1,PPS5,0.6873322377009051
241,Pyr_Growth_Glycolysis_C1,PGMd1,-0.0028939315793618595
242,Pyr_Growth_Glycolysis_C1,PFK1_Activation_gdp_90,-6.704053928557153e-45
243,Pyr_Growth_Glycolysis_C1,PFK24,0.00029363498692844015
244,Pyr_Growth_Glycolysis_C1,FBP23,0.0004770169329081724
245,Pyr_Growth_Glycolysis_C1,PYK12,0.2097252898406623
246,Pyr_Growth_Glycolysis_C10,FBA14,-0.12023990622688618
247,Pyr_Growth_Glycolysis_C10,PYK23,0.0010394090358826855
248,Pyr_Growth_Glycolysis_C10,PFK11_85,3.6461565782903783e-32
249,Pyr_Growth_Glycolysis_C10,PFK1_Inhibition_pep_92,2.2881831995959843e-19
250,Pyr_Growth_Glycolysis_C10,PGK3,-8.232513020492134e-09
251,Pyr_Growth_Glycolysis_C10,PFK13_85,3.642692212270529e-32
252,Pyr_Growth_Glycolysis_C10,GAPD5,-0.21265639992208962
253,Pyr_Growth_Glycolysis_C10,FBP24,0.0004833364808322915
254,Pyr_Growth_Glycolysis_C10,SK_h2o_c,0.0
255,Pyr_Growth_Glycolysis_C10,PGK2,-7.474095663797782e-10
256,Pyr_Growth_Glycolysis_C10,FBA12,-0.12023990622685687
257,Pyr_Growth_Glycolysis_C10,SK_f6p_c,0.03402569827134589
258,Pyr_Growth_Glycolysis_C10,PFK15_87,-3.2787151548673062e-25
259,Pyr_Growth_Glycolysis_C10,PFK1_Inhibition_pep_93,2.288312446566696e-19
260,Pyr_Growth_Glycolysis_C10,FBP13,0.16493314206272974
261,Pyr_Growth_Glycolysis_C10,PYK22,0.0010394090358826857
262,Pyr_Growth_Glycolysis_C10,GAPD6,-0.21265639992209007
263,Pyr_Growth_Glycolysis_C10,SK__3pg_c,0.09026168815515727
264,Pyr_Growth_Glycolysis_C10,SK_g6p_c,0.15455889253416938
265,Pyr_Growth_Glycolysis_C10,FBA13,-0.12023990622688695
266,Pyr_Growth_Glycolysis_C10,PPS4,0.557709165266715
267,Pyr_Growth_Glycolysis_C10,PGK1,-0.21265639917464796
268,Pyr_Growth_Glycolysis_C10,FBA11,-0.12023990622688693
269,Pyr_Growth_Glycolysis_C10,PFK14_87,2.713094354064786e-27
270,Pyr_Growth_Glycolysis_C10,PFK12_85,1.0676182487996768e-26
271,Pyr_Growth_Glycolysis_C10,PPS5,0.5577091650680333
272,Pyr_Growth_Glycolysis_C10,PFK15_86,-1.7126495089375683e-26
273,Pyr_Growth_Glycolysis_C10,PFK1_Activation_gdp_89,-3.5839288079649212e-25
274,Pyr_Growth_Glycolysis_C10,PFK12_86,5.638581662595477e-30
275,Pyr_Growth_Glycolysis_C10,FBP23,0.00048333648083227814
276,Pyr_Growth_Glycolysis_C10,PYK25,0.001039409035882686
277,Pyr_Growth_Glycolysis_C10,PFK1_Activation_gdp_91,-3.305846083639666e-25
278,Pyr_Growth_Glycolysis_C10,FBA23,-0.0002932880359364661
279,Pyr_Growth_Glycolysis_C10,TPI3,-0.10133742692414671
280,Pyr_Growth_Glycolysis_C10,PYK21,0.001039409035882686
281,Pyr_Growth_Glycolysis_C10,PFK13_86,-1.7126488442361889e-26
282,Pyr_Growth_Glycolysis_C10,GAPD1,-0.21265639992208996
283,Pyr_Growth_Glycolysis_C10,PFK1_Activation_gdp_90,-3.477167347356504e-25
284,Pyr_Growth_Glycolysis_C10,SK_g3p_c,0.009214221336623992
285,Pyr_Growth_Glycolysis_C10,TPI2,-0.10133742699589082
286,Pyr_Growth_Glycolysis_C10,SK_dhap_c,-0.01919576726693234
287,Pyr_Growth_Glycolysis_C10,PPS6,0.5577091650629882
288,Pyr_Growth_Glycolysis_C10,FBA24,-0.0002932880359364661
289,Pyr_Growth_Glycolysis_C10,PFK14_86,5.6385816619417e-30
290,Pyr_Growth_Glycolysis_C10,PPS1,0.5577091650680333
291,Pyr_Growth_Glycolysis_C10,TPI1,-0.10133742699589021
292,Pyr_Growth_Glycolysis_C10,FBP22,0.0004833364808322783
293,Pyr_Growth_Glycolysis_C10,PFK14_85,-4.050487477626987e-36
294,Pyr_Growth_Glycolysis_C10,FBP21,0.000483336480832278
295,Pyr_Growth_Glycolysis_C10,GAPD2,-0.21265639992208987
296,Pyr_Growth_Glycolysis_C10,FBP14,0.16493314206272203
297,Pyr_Growth_Glycolysis_C10,SK_nadh_c,0.377222434113935
298,Pyr_Growth_Glycolysis_C10,SK_pi_c,0.9357820435336851
299,Pyr_Growth_Glycolysis_C10,GAPD4,-0.21265639992209007
300,Pyr_Growth_Glycolysis_C10,PFK13_87,-3.278715154864592e-25
301,Pyr_Growth_Glycolysis_C10,PFK15_85,5.7416727547937134e-33
302,Pyr_Growth_Glycolysis_C10,LDH_D1,-0.16456603419184496
303,Pyr_Growth_Glycolysis_C10,FBA21,-0.00029328803593646653
304,Pyr_Growth_Glycolysis_C10,PFK11_87,-3.2787151547053814e-25
305,Pyr_Growth_Glycolysis_C10,PYK24,0.0010394090358826857
306,Pyr_Growth_Glycolysis_C10,PPS3,0.557709165068033
307,Pyr_Growth_Glycolysis_C10,PFK12_87,2.7130928776156956e-27
308,Pyr_Growth_Glycolysis_C10,PFK11_86,-1.712648779015835e-26
309,Pyr_Growth_Glycolysis_C10,FBA22,-0.0002932880359364787
310,Pyr_Growth_Glycolysis_C10,SK_fdp_c,-2.1134782987777432e-17
311,Pyr_Growth_Glycolysis_C10,SK_nad_c,0.37722243411393525
312,Pyr_Growth_Glycolysis_C10,SK_h_c,0.0
313,Pyr_Growth_Glycolysis_C10,PPS2,0.557709165068033
314,Pyr_Growth_Glycolysis_C10,GAPD3,-0.21265639992270735
315,Pyr_Growth_Glycolysis_C10,PGI2,-0.15455889253416544
316,Pyr_Growth_Glycolysis_C10,LDH_D2,-0.1645660341918449
317,Pyr_Growth_Glycolysis_C10,PFK1_Activation_gdp_88,-2.8353554199815695e-25
318,Pyr_Growth_Glycolysis_C10,PFK1_Inhibition_pep_94,2.286988957586611e-19
319,Pyr_Growth_Glycolysis_C10,PFK14,0.044634615559662194
320,Pyr_Growth_Glycolysis_C10,PGMd3,-0.002814711779060383
321,Pyr_Growth_Glycolysis_C10,PGMi3,-0.3001033762981873
322,Pyr_Growth_Glycolysis_C10,PGK6,-7.474095663937853e-10
323,Pyr_Growth_Glycolysis_C10,PGK9,-0.21265639992209007
324,Pyr_Growth_Glycolysis_C10,PFK11_84,7.549724539490988e-27
325,Pyr_Growth_Glycolysis_C10,PGI1,-0.15455889253416188
326,Pyr_Growth_Glycolysis_C10,PFK11,0.04463461555966307
327,Pyr_Growth_Glycolysis_C10,PYK14,0.19877383852144703
328,Pyr_Growth_Glycolysis_C10,PYK15,0.19877383846603316
329,Pyr_Growth_Glycolysis_C10,PYK11,0.1987738384660332
330,Pyr_Growth_Glycolysis_C10,PYK12,0.19877383846574048
331,Pyr_Growth_Glycolysis_C10,PFK24,0.0002486687210754833
332,Pyr_Growth_Glycolysis_C10,PFK13_84,9.640700677142194e-25
333,Pyr_Growth_Glycolysis_C10,PGMd2,-0.0028147117790603415
334,Pyr_Growth_Glycolysis_C10,PGK7,-8.23251302545236e-09
335,Pyr_Growth_Glycolysis_C10,SK_lac__D_c,0.16456603419184498
336,Pyr_Growth_Glycolysis_C10,SK_pyr_c,0.5224619517579624
337,Pyr_Growth_Glycolysis_C10,PFK1_TransitionStep,0.0
338,Pyr_Growth_Glycolysis_C10,LDH_D4,-0.16456603419184487
339,Pyr_Growth_Glycolysis_C10,PFK12,0.044634615559662194
340,Pyr_Growth_Glycolysis_C10,PGK8,-0.21265639171178918
341,Pyr_Growth_Glycolysis_C10,PFK12_84,-6.785465962349055e-26
342,Pyr_Growth_Glycolysis_C10,PGMd1,-0.0028147117790603762
343,Pyr_Growth_Glycolysis_C10,FBP11,0.16493314206272203
344,Pyr_Growth_Glycolysis_C10,PFK13,0.04463461555966308
345,Pyr_Growth_Glycolysis_C10,PFK21,0.00024866872107548335
346,Pyr_Growth_Glycolysis_C10,SK_adp_c,0.05772643670091279
347,Pyr_Growth_Glycolysis_C10,PFK23,0.0002486687210754833
348,Pyr_Growth_Glycolysis_C10,LDH_D3,-0.1645660341918358
349,Pyr_Growth_Glycolysis_C10,ENO3,-0.30291808807724774
350,Pyr_Growth_Glycolysis_C10,PGMi2,-0.30010337629818196
351,Pyr_Growth_Glycolysis_C10,FBP12,0.16493314206272972
352,Pyr_Growth_Glycolysis_C10,SK_pep_c,0.05497782948886917
353,Pyr_Growth_Glycolysis_C10,LDH_D5,-0.16456603419184493
