,model,fluxes,value
0,Glu_Growth_Glycolysis_C0,SK_f6p_c,1.5266405427029957
1,Glu_Growth_Glycolysis_C0,LDH_D3,1.4950241266284414e-05
2,Glu_Growth_Glycolysis_C0,PFK12_85,5.497780085880785e-38
3,Glu_Growth_Glycolysis_C0,FBP22,0.2475959105000137
4,Glu_Growth_Glycolysis_C0,SK_amp_c,0.048452982897288645
5,Glu_Growth_Glycolysis_C0,FBP23,0.24759591050001098
6,Glu_Growth_Glycolysis_C0,PGMi2,0.50489610047984
7,Glu_Growth_Glycolysis_C0,PGMi3,0.5048961004798154
8,Glu_Growth_Glycolysis_C0,PGMi1,0.5048961004798158
9,Glu_Growth_Glycolysis_C0,FBP24,0.24759591050003849
10,Glu_Growth_Glycolysis_C0,SK_lac__D_c,1.4950241267277565e-05
11,Glu_Growth_Glycolysis_C0,FBA11,0.4441630014142719
12,Glu_Growth_Glycolysis_C0,PGK9,2.025548380114281
13,Glu_Growth_Glycolysis_C0,PGK8,2.025548307246936
14,Glu_Growth_Glycolysis_C0,PFK15_84,-4.019275894385001e-26
15,Glu_Growth_Glycolysis_C0,PFK11_85,-9.668059756344197e-32
16,Glu_Growth_Glycolysis_C0,FBA12,0.44416300141529064
17,Glu_Growth_Glycolysis_C0,PGMd1,1.6718119626788592
18,Glu_Growth_Glycolysis_C0,SK_pyr_c,0.8484036932293554
19,Glu_Growth_Glycolysis_C0,ENO2,2.1767080631586566
20,Glu_Growth_Glycolysis_C0,FBP11,0.05789453194936556
21,Glu_Growth_Glycolysis_C0,LDH_D5,1.495024126628703e-05
22,Glu_Growth_Glycolysis_C0,ENO1,2.176708063158742
23,Glu_Growth_Glycolysis_C0,PFK14_85,7.197041170153115e-38
24,Glu_Growth_Glycolysis_C0,FBP12,0.057894531949366716
25,Glu_Growth_Glycolysis_C0,SK_g6p_c,0.44971315795888855
26,Glu_Growth_Glycolysis_C0,SK_pep_c,1.3283193201705683
27,Glu_Growth_Glycolysis_C0,PPS6,0.04845298289365019
28,Glu_Growth_Glycolysis_C0,PGMd3,1.6718119626788583
