,model,init_conds,value
0,Glu_Growth_Glycolysis_C0,f6p_c,0.0024444422297399213
1,Glu_Growth_Glycolysis_C0,E_ENO_c_2pg,1.6758357441568025e-06
2,Glu_Growth_Glycolysis_C0,E_ENO_c,2.165730161503639e-07
3,Glu_Growth_Glycolysis_C0,_3pg_c,0.00797527589228498
4,Glu_Growth_Glycolysis_C0,E_PGMd_c_2pg,8.725623357188198e-07
5,Glu_Growth_Glycolysis_C0,E_PGMd_c_3pg,2.196464064185983e-06
6,Glu_Growth_Glycolysis_C0,_2pg_c,0.0010019229064321914
7,Glu_Growth_Glycolysis_C0,E_PGMd_c,8.267624746513339e-08
8,Glu_Growth_Glycolysis_C0,pep_c,0.0005757349132041896
9,Glu_Growth_Glycolysis_C0,E_PGMi_c_2pg,2.842874951475208e-06
10,Glu_Growth_Glycolysis_C0,E_PGMi_c_3pg,1.4064240870646755e-05
11,Glu_Growth_Glycolysis_C0,pyr_c,0.0005650738387563488
12,Glu_Growth_Glycolysis_C0,E_PGMi_c,3.7280477748283516e-07
13,Glu_Growth_Glycolysis_C0,E_PGK_c_3pg_atp,2.37378998150357e-06
14,Glu_Growth_Glycolysis_C0,amp_c,0.025620302686107103
15,Glu_Growth_Glycolysis_C0,E_PGK_c_13dpg_adp,6.019040555122772e-08
16,Glu_Growth_Glycolysis_C0,E_PGK_c_3pg,3.1021775211156973e-07
17,Glu_Growth_Glycolysis_C0,lac__D_c,0.0030582403029215484
18,Glu_Growth_Glycolysis_C0,E_PGK_c_atp,7.38814130690627e-07
19,Glu_Growth_Glycolysis_C0,E_PGK_c_13dpg,4.7386173094413696e-14
20,Glu_Growth_Glycolysis_C0,gdp_c,0.0008743879877912376
21,Glu_Growth_Glycolysis_C0,E_PGK_c_adp,3.2497035600829573e-09
22,Glu_Growth_Glycolysis_C0,E_PGI_c,6.247667706622108e-07
23,Glu_Growth_Glycolysis_C0,E_PGK_c,4.331294949444142e-07
24,Glu_Growth_Glycolysis_C0,E_GAPD_c_nad_g3p_pi,1.6744398027658177e-06
25,Glu_Growth_Glycolysis_C0,E_PGI_c_g6p,5.625548394964333e-06
26,Glu_Growth_Glycolysis_C0,nadh_c,1.0137873538346976e-05
27,Glu_Growth_Glycolysis_C0,E_ENO_c_pep,5.5075731155585644e-06
