,model,parameters,value
0,Glu_Growth_Glycolysis_C0,kf_SK_f6p_c,737.4381258994181
1,Glu_Growth_Glycolysis_C0,v_SK_nad_c,2.0255633303549767
2,Glu_Growth_Glycolysis_C0,v_SK_g3p_c,-0.12829692055165415
3,Glu_Growth_Glycolysis_C0,kf_SK_pyr_c,2879.989672422875
4,Glu_Growth_Glycolysis_C0,v_SK_dhap_c,-9.468822894162018e-06
5,Glu_Growth_Glycolysis_C0,v_SK_pi_c,1.6716049547675729
6,Glu_Growth_Glycolysis_C0,v_SK_h2o_c,0.0
7,Glu_Growth_Glycolysis_C0,v_SK_h_c,0.0
8,Glu_Growth_Glycolysis_C0,v_SK_nadh_c,2.025563330355517
9,Glu_Growth_Glycolysis_C0,v_SK_atp_c,1.4915192959087755
10,Glu_Growth_Glycolysis_C0,v_SK_g6p_c,0.44971315795888855
11,Glu_Growth_Glycolysis_C0,v_SK_f6p_c,1.5266405427029957
12,Glu_Growth_Glycolysis_C0,kr_LDH_D5,10607973.434607612
13,Glu_Growth_Glycolysis_C0,kr_LDH_D4,140098854330.02203
14,Glu_Growth_Glycolysis_C0,kr_LDH_D3,9019902.315499187
15,Glu_Growth_Glycolysis_C0,kf_SK_amp_c,4.929075640118787
16,Glu_Growth_Glycolysis_C0,kr_LDH_D2,451149679.2571601
17,Glu_Growth_Glycolysis_C0,v_SK_adp_c,1.5399722788061472
18,Glu_Growth_Glycolysis_C0,v_SK__3pg_c,-0.15115968304455069
19,Glu_Growth_Glycolysis_C0,v_SK_pep_c,1.3283193201705683
20,Glu_Growth_Glycolysis_C0,v_SK_pyr_c,0.8484036932293554
21,Glu_Growth_Glycolysis_C0,v_PFK15_84,-4.019275894385001e-26
22,Glu_Growth_Glycolysis_C0,kf_SK__3pg_c,26.30501881062467
23,Glu_Growth_Glycolysis_C0,v_PFK14_84,-2.5879155601079286e-26
24,Glu_Growth_Glycolysis_C0,v_PFK13_84,1.674593929603164e-26
25,Glu_Growth_Glycolysis_C0,v_PFK12_84,-2.5849394142282115e-26
26,Glu_Growth_Glycolysis_C0,v_PFK11_84,8.309498297165636e-27
27,Glu_Growth_Glycolysis_C0,v_PFK15,0.305768797344939
28,Glu_Growth_Glycolysis_C0,v_PFK14,0.3057687973450811
29,Glu_Growth_Glycolysis_C0,v_PFK13,0.3057687973449674
30,Glu_Growth_Glycolysis_C0,v_PFK12,0.3057687973459906
31,Glu_Growth_Glycolysis_C0,v_PFK11,0.3057687973449519
32,Glu_Growth_Glycolysis_C0,v_PGI3,-0.449713157958884
33,Glu_Growth_Glycolysis_C0,kf_SK_pep_c,8872.47421664362
34,Glu_Growth_Glycolysis_C0,v_PGI2,-0.44971315795888245
35,Glu_Growth_Glycolysis_C0,v_PGI1,-0.449713157958854
36,Glu_Growth_Glycolysis_C0,v_SK_lac__D_c,1.4950241267277565e-05
37,Glu_Growth_Glycolysis_C0,v_SK_amp_c,0.048452982897288645
38,Glu_Growth_Glycolysis_C0,kr_LDH_D1,11756904.974688612
39,Glu_Growth_Glycolysis_C0,kr_PPS6,20522582933.13328
40,Glu_Growth_Glycolysis_C0,kr_PPS5,24665635.655600313
41,Glu_Growth_Glycolysis_C0,kr_PPS4,3587878689178.755
42,Glu_Growth_Glycolysis_C0,kr_PGMi2,443556728038.73865
43,Glu_Growth_Glycolysis_C0,amp_b,0.01579026832775407
44,Glu_Growth_Glycolysis_C0,kr_PGMi1,126930.7312070972
45,Glu_Growth_Glycolysis_C0,kr_PGK9,208405.17292881114
46,Glu_Growth_Glycolysis_C0,kr_PGK8,3599998082450.041
47,Glu_Growth_Glycolysis_C0,kr_PGK7,4199839.901257909
48,Glu_Growth_Glycolysis_C0,kf_PGI2,6124818.254912563
49,Glu_Growth_Glycolysis_C0,kr_PGK6,0.16092661342612438
50,Glu_Growth_Glycolysis_C0,kr_PGK5,45920814.47868228
51,Glu_Growth_Glycolysis_C0,kr_PGK4,52376589377.3516
52,Glu_Growth_Glycolysis_C0,kr_PGK3,557.3738199079957
53,Glu_Growth_Glycolysis_C0,kr_PGK2,21139138613.853565
54,Glu_Growth_Glycolysis_C0,kr_PGK1,17003698564.57849
55,Glu_Growth_Glycolysis_C0,kr_GAPD6,2386776409852.115
56,Glu_Growth_Glycolysis_C0,kr_GAPD5,4369676498.550939
57,Glu_Growth_Glycolysis_C0,kr_GAPD4,2552926324689.6475
58,Glu_Growth_Glycolysis_C0,kr_GAPD3,3599998084196.6626
59,Glu_Growth_Glycolysis_C0,kr_PGMd1,8524115.000001356
60,Glu_Growth_Glycolysis_C0,v_PFK11_85,-9.668059756344197e-32
61,Glu_Growth_Glycolysis_C0,kr_PGMd2,1721696448876.1948
62,Glu_Growth_Glycolysis_C0,kr_ENO1,235474197.73780617
63,Glu_Growth_Glycolysis_C0,kr_PPS3,1553296.107639819
64,Glu_Growth_Glycolysis_C0,kr_PPS2,20698360.821953755
65,Glu_Growth_Glycolysis_C0,kr_PPS1,758325.8822922768
66,Glu_Growth_Glycolysis_C0,kr_PYK25,2294308.6623261888
67,Glu_Growth_Glycolysis_C0,kr_PYK24,2184706.9984986843
68,Glu_Growth_Glycolysis_C0,kf_SK_lac__D_c,0.00948890366522761
69,Glu_Growth_Glycolysis_C0,kr_PYK23,2490001492653.9653
70,Glu_Growth_Glycolysis_C0,kr_PYK22,784400.6068225263
71,Glu_Growth_Glycolysis_C0,kr_PYK21,67923.03779795441
72,Glu_Growth_Glycolysis_C0,kr_PYK15,501.94826472510374
73,Glu_Growth_Glycolysis_C0,kr_PYK14,3253938184140.41
74,Glu_Growth_Glycolysis_C0,kr_PYK13,2966384210850.567
75,Glu_Growth_Glycolysis_C0,kr_PYK12,3253938184140.41
76,Glu_Growth_Glycolysis_C0,kr_PYK11,516572.4995408668
77,Glu_Growth_Glycolysis_C0,kr_ENO3,54403.62474087332
78,Glu_Growth_Glycolysis_C0,kr_ENO2,201013096784.6263
79,Glu_Growth_Glycolysis_C0,kf_PGI1,131035219810.01767
80,Glu_Growth_Glycolysis_C0,kr_PGMd3,2866386.962938404
81,Glu_Growth_Glycolysis_C0,kf_PGI3,131928.22844764183
82,Glu_Growth_Glycolysis_C0,v_PFK12_85,5.497780085880785e-38
83,Glu_Growth_Glycolysis_C0,v_PFK14_85,7.197041170153115e-38
84,Glu_Growth_Glycolysis_C0,v_PGK2,7.713378311286281e-09
85,Glu_Growth_Glycolysis_C0,v_PGK1,2.0255483724008982
86,Glu_Growth_Glycolysis_C0,v_GAPD6,2.025548380114742
87,Glu_Growth_Glycolysis_C0,v_GAPD5,2.0255483801138325
88,Glu_Growth_Glycolysis_C0,v_GAPD4,2.0255483801138325
89,Glu_Growth_Glycolysis_C0,v_GAPD3,2.025548379868269
90,Glu_Growth_Glycolysis_C0,v_GAPD2,2.02554838011425
91,Glu_Growth_Glycolysis_C0,v_PGK3,7.286453373820844e-08
92,Glu_Growth_Glycolysis_C0,kf_SK_pi_c,2312.3581236443906
93,Glu_Growth_Glycolysis_C0,v_TPI3,1.0769179090857506
94,Glu_Growth_Glycolysis_C0,v_TPI2,1.0769179159215085
95,Glu_Growth_Glycolysis_C0,v_TPI1,1.0769179159215128
96,Glu_Growth_Glycolysis_C0,v_FBA24,0.6327643833301206
97,Glu_Growth_Glycolysis_C0,v_FBA23,0.6327643833301204
98,Glu_Growth_Glycolysis_C0,v_FBA22,0.6327643833296861
99,Glu_Growth_Glycolysis_C0,pyr_b,0.0002704881666780142
100,Glu_Growth_Glycolysis_C0,v_GAPD1,2.025548380114742
101,Glu_Growth_Glycolysis_C0,v_PGK4,2.025548307249778
102,Glu_Growth_Glycolysis_C0,v_PGK5,2.0255483724009022
103,Glu_Growth_Glycolysis_C0,kf_SK_h2o_c,4.259965375551162
104,Glu_Growth_Glycolysis_C0,v_PYK13,0.08481536720255892
105,Glu_Growth_Glycolysis_C0,v_PYK12,0.08481536720228178
106,Glu_Growth_Glycolysis_C0,v_PYK11,0.08481536720255892
107,Glu_Growth_Glycolysis_C0,v_ENO3,2.1767080631586597
108,Glu_Growth_Glycolysis_C0,v_ENO2,2.1767080631586566
109,Glu_Growth_Glycolysis_C0,kf_SK_h_c,6.6500383689480955
110,Glu_Growth_Glycolysis_C0,v_ENO1,2.176708063158742
111,Glu_Growth_Glycolysis_C0,v_PGMd3,1.6718119626788583
112,Glu_Growth_Glycolysis_C0,v_PGMd2,1.6718119626788166
113,Glu_Growth_Glycolysis_C0,v_PGMd1,1.6718119626788592
114,Glu_Growth_Glycolysis_C0,v_PGMi3,0.5048961004798154
115,Glu_Growth_Glycolysis_C0,v_PGMi2,0.50489610047984
116,Glu_Growth_Glycolysis_C0,v_PGMi1,0.5048961004798158
117,Glu_Growth_Glycolysis_C0,v_PGK9,2.025548380114281
118,Glu_Growth_Glycolysis_C0,v_PGK8,2.025548307246936
119,Glu_Growth_Glycolysis_C0,v_PGK7,7.286453379204416e-08
120,Glu_Growth_Glycolysis_C0,v_PGK6,7.713378311238465e-09
121,Glu_Growth_Glycolysis_C0,v_FBA21,0.6327643833283219
122,Glu_Growth_Glycolysis_C0,v_FBA14,0.44416300141426923
123,Glu_Growth_Glycolysis_C0,v_FBA13,0.44416300141427173
124,Glu_Growth_Glycolysis_C0,kf_SK_dhap_c,0.006753009356432247
125,Glu_Growth_Glycolysis_C0,kf_SK_nad_c,43.62325111507316
126,Glu_Growth_Glycolysis_C0,v_PFK1_Activation_gdp_91,2.095256766430836e-38
127,Glu_Growth_Glycolysis_C0,v_PFK1_Activation_gdp_90,2.1226487614083782e-38
128,Glu_Growth_Glycolysis_C0,v_PFK1_Activation_gdp_89,-1.170597790977857e-31
129,Glu_Growth_Glycolysis_C0,v_PFK1_Activation_gdp_88,3.4230252399350144e-26
130,Glu_Growth_Glycolysis_C0,v_PFK15_87,1.6758605479327747e-34
131,Glu_Growth_Glycolysis_C0,v_PFK14_87,-2.1255148584974866e-31
132,Glu_Growth_Glycolysis_C0,v_PFK13_87,1.6738058269640741e-34
133,Glu_Growth_Glycolysis_C0,v_PFK12_87,1.6756510220366967e-34
134,Glu_Growth_Glycolysis_C0,v_PFK11_87,1.0320774767905403e-32
135,Glu_Growth_Glycolysis_C0,v_PFK15_86,9.755758289726065e-43
136,Glu_Growth_Glycolysis_C0,kf_SK_nadh_c,685093.3530484202
137,Glu_Growth_Glycolysis_C0,v_PFK14_86,-1.4199698406453852e-42
138,Glu_Growth_Glycolysis_C0,v_PFK13_86,-1.6937950008551025e-32
139,Glu_Growth_Glycolysis_C0,v_PFK12_86,9.75002114138554e-43
140,Glu_Growth_Glycolysis_C0,v_PFK11_86,8.636348830702952e-36
141,Glu_Growth_Glycolysis_C0,v_PFK15_85,9.904153338093515e-39
142,Glu_Growth_Glycolysis_C0,v_PFK1_Inhibition_pep_92,1.5477324742691416e-24
143,Glu_Growth_Glycolysis_C0,v_PFK13_85,-1.170597376444606e-31
144,Glu_Growth_Glycolysis_C0,v_PFK1_Inhibition_pep_93,1.137373342260413e-24
145,Glu_Growth_Glycolysis_C0,v_PFK1_Inhibition_pep_95,9.451184733271898e-26
146,Glu_Growth_Glycolysis_C0,v_FBA12,0.44416300141529064
147,Glu_Growth_Glycolysis_C0,v_FBA11,0.4441630014142719
148,Glu_Growth_Glycolysis_C0,v_FBP24,0.24759591050003849
149,Glu_Growth_Glycolysis_C0,v_FBP23,0.24759591050001098
150,Glu_Growth_Glycolysis_C0,v_FBP22,0.2475959105000137
151,Glu_Growth_Glycolysis_C0,v_FBP21,0.24759591050001106
152,Glu_Growth_Glycolysis_C0,v_FBP14,0.05789453194927319
153,Glu_Growth_Glycolysis_C0,v_FBP13,0.057894531949366716
154,Glu_Growth_Glycolysis_C0,v_FBP12,0.057894531949366716
155,Glu_Growth_Glycolysis_C0,v_FBP11,0.05789453194936556
156,Glu_Growth_Glycolysis_C0,kf_SK_g3p_c,2313.854462511298
157,Glu_Growth_Glycolysis_C0,v_PFK25,1.076649029848547
158,Glu_Growth_Glycolysis_C0,v_PFK24,1.076649029848547
159,Glu_Growth_Glycolysis_C0,v_PFK23,1.0766490298485474
160,Glu_Growth_Glycolysis_C0,v_PFK22,1.0766490298478857
161,Glu_Growth_Glycolysis_C0,v_PFK21,1.0766490298485467
162,Glu_Growth_Glycolysis_C0,v_PFK1_TransitionStep,6.938893903907228e-18
163,Glu_Growth_Glycolysis_C0,v_PFK1_Inhibition_pep_94,5.072943600422865e-25
164,Glu_Growth_Glycolysis_C0,kr_GAPD2,2504032926839.0654
165,Glu_Growth_Glycolysis_C0,kr_GAPD1,89432.930747223
166,Glu_Growth_Glycolysis_C0,kr_TPI3,2262247675887.736
167,Glu_Growth_Glycolysis_C0,kf_PGMi3,127732.25884340607
168,Glu_Growth_Glycolysis_C0,kf_PGMi2,58455942.724028535
169,Glu_Growth_Glycolysis_C0,kf_PGMi1,770235550.3328214
170,Glu_Growth_Glycolysis_C0,kf_PFK15_84,316558.2264225017
171,Glu_Growth_Glycolysis_C0,kf_PGK9,41871432.309277825
172,Glu_Growth_Glycolysis_C0,kf_PGK8,12586604181.019577
173,Glu_Growth_Glycolysis_C0,kf_PGK7,10424.917588616432
174,Glu_Growth_Glycolysis_C0,kf_PGMd1,30930815130.934235
175,Glu_Growth_Glycolysis_C0,kf_PGK6,278903898.637397
176,Glu_Growth_Glycolysis_C0,kf_PGK4,589751635.4255812
177,Glu_Growth_Glycolysis_C0,kf_PGK3,8.840036632058425
