,model,parameters,value
84,Glu_Growth_Glycolysis_C0,v_PGK2,7.99498478369371e-09
85,Glu_Growth_Glycolysis_C0,v_PGK1,2.11128203827316
86,Glu_Growth_Glycolysis_C0,v_GAPD6,2.1112820462685704
87,Glu_Growth_Glycolysis_C0,v_GAPD5,2.11128204626948
88,Glu_Growth_Glycolysis_C0,v_GAPD4,2.11128204626948
89,Glu_Growth_Glycolysis_C0,v_GAPD3,2.111282045021653
90,Glu_Growth_Glycolysis_C0,v_GAPD2,2.1112820462681734
91,Glu_Growth_Glycolysis_C0,v_PGK3,5.949735981469352e-08
92,Glu_Growth_Glycolysis_C0,kf_SK_pi_c,2312.3581236443906
93,Glu_Growth_Glycolysis_C0,v_TPI3,1.1276473551988602
94,Glu_Growth_Glycolysis_C0,v_TPI2,1.1276473450052673
95,Glu_Growth_Glycolysis_C0,v_TPI1,1.1276473450052436
96,Glu_Growth_Glycolysis_C0,v_FBA24,0.004330211845985404
97,Glu_Growth_Glycolysis_C0,v_FBA23,0.004330211845985402
98,Glu_Growth_Glycolysis_C0,v_FBA22,0.004330211845982035
99,Glu_Growth_Glycolysis_C0,pyr_b,0.0002704881666780142
100,Glu_Growth_Glycolysis_C0,v_GAPD1,2.111282046267661
101,Glu_Growth_Glycolysis_C0,v_PGK4,2.1112819867705923
102,Glu_Growth_Glycolysis_C0,v_PGK5,2.1112820382731745
103,Glu_Growth_Glycolysis_C0,kf_SK_h2o_c,4.259965375551162
104,Glu_Growth_Glycolysis_C0,v_PYK13,0.4379624745786282
105,Glu_Growth_Glycolysis_C0,v_PYK12,0.4379624745779438
106,Glu_Growth_Glycolysis_C0,v_PYK11,0.43796247457862814
107,Glu_Growth_Glycolysis_C0,v_ENO3,2.2233922897671548
108,Glu_Growth_Glycolysis_C0,v_ENO2,2.2233922897671583
109,Glu_Growth_Glycolysis_C0,kf_SK_h_c,6.6500383689480955
110,Glu_Growth_Glycolysis_C0,v_ENO1,2.223392289767048
111,Glu_Growth_Glycolysis_C0,v_PGMd3,0.02429250962100625
112,Glu_Growth_Glycolysis_C0,v_PGMd2,0.02429250962100693
113,Glu_Growth_Glycolysis_C0,v_PGMd1,0.024292509621006098
114,Glu_Growth_Glycolysis_C0,v_PGMi3,2.199099780146147
115,Glu_Growth_Glycolysis_C0,v_PGMi2,2.199099780146412
116,Glu_Growth_Glycolysis_C0,v_PGMi1,2.1990997801461454
117,Glu_Growth_Glycolysis_C0,v_PGK9,2.1112820462681694
118,Glu_Growth_Glycolysis_C0,v_PGK8,2.1112819867776125
119,Glu_Growth_Glycolysis_C0,v_PGK7,5.9497359771593095e-08
120,Glu_Growth_Glycolysis_C0,v_PGK6,7.99498478559996e-09
121,Glu_Growth_Glycolysis_C0,v_FBA21,0.004330211845996246
122,Glu_Growth_Glycolysis_C0,v_FBA14,1.1233391786163835
123,Glu_Growth_Glycolysis_C0,v_FBA13,1.1233391786163787
124,Glu_Growth_Glycolysis_C0,kf_SK_dhap_c,0.006753009356432247
125,Glu_Growth_Glycolysis_C0,kf_SK_nad_c,43.62325111507316
126,Glu_Growth_Glycolysis_C0,v_PFK1_Activation_gdp_91,1.0323474149862452e-68
127,Glu_Growth_Glycolysis_C0,v_PFK1_Activation_gdp_90,-4.098706868961573e-54
128,Glu_Growth_Glycolysis_C0,v_PFK1_Activation_gdp_89,1.9802028859066855e-39
129,Glu_Growth_Glycolysis_C0,v_PFK1_Activation_gdp_88,-7.270142102516845e-27
130,Glu_Growth_Glycolysis_C0,v_PFK15_87,2.3272903936939027e-65
131,Glu_Growth_Glycolysis_C0,v_PFK14_87,2.3272903936852396e-65
132,Glu_Growth_Glycolysis_C0,v_PFK13_87,2.3272904415542264e-65
133,Glu_Growth_Glycolysis_C0,v_PFK12_87,2.327290393685273e-65
134,Glu_Growth_Glycolysis_C0,v_PFK11_87,2.3295843098430663e-65
135,Glu_Growth_Glycolysis_C0,v_PFK15_86,1.4582751186814205e-50
136,Glu_Growth_Glycolysis_C0,kf_SK_nadh_c,685093.3530484202
137,Glu_Growth_Glycolysis_C0,v_PFK14_86,1.4582751181039865e-50
138,Glu_Growth_Glycolysis_C0,v_PFK13_86,1.4582750425083103e-50
139,Glu_Growth_Glycolysis_C0,v_PFK12_86,1.458275118103986e-50
140,Glu_Growth_Glycolysis_C0,v_PFK11_86,1.4582815821506055e-50
141,Glu_Growth_Glycolysis_C0,v_PFK15_85,3.749524926436515e-38
142,Glu_Growth_Glycolysis_C0,v_PFK1_Inhibition_pep_92,-3.219412793450526e-22
143,Glu_Growth_Glycolysis_C0,v_PFK13_85,3.7469260947260446e-38
144,Glu_Growth_Glycolysis_C0,v_PFK1_Inhibition_pep_93,-3.2177325828312777e-22
145,Glu_Growth_Glycolysis_C0,v_PFK1_Inhibition_pep_95,-3.214630655534204e-22
146,Glu_Growth_Glycolysis_C0,v_FBA12,1.1233391786154243
147,Glu_Growth_Glycolysis_C0,v_FBA11,1.123339178616373
148,Glu_Growth_Glycolysis_C0,v_FBP24,0.0033645653116132213
149,Glu_Growth_Glycolysis_C0,v_FBP23,0.003364565311613138
150,Glu_Growth_Glycolysis_C0,v_FBP22,0.003364565311613135
151,Glu_Growth_Glycolysis_C0,v_FBP21,0.003364565311613138
152,Glu_Growth_Glycolysis_C0,v_FBP14,0.23027081655141046
153,Glu_Growth_Glycolysis_C0,v_FBP13,0.23027081655097992
154,Glu_Growth_Glycolysis_C0,v_FBP12,0.2302708165509799
155,Glu_Growth_Glycolysis_C0,v_FBP11,0.23027081655095571
156,Glu_Growth_Glycolysis_C0,kf_SK_g3p_c,2313.854462511298
157,Glu_Growth_Glycolysis_C0,v_PFK25,0.01551551523178498
158,Glu_Growth_Glycolysis_C0,v_PFK24,0.015515515231784979
159,Glu_Growth_Glycolysis_C0,v_PFK23,0.015515515231784984
160,Glu_Growth_Glycolysis_C0,v_PFK22,0.015515515231786736
161,Glu_Growth_Glycolysis_C0,v_PFK21,0.015515515231784975
162,Glu_Growth_Glycolysis_C0,v_PFK1_TransitionStep,0.0
163,Glu_Growth_Glycolysis_C0,v_PFK1_Inhibition_pep_94,-3.215664631299895e-22
164,Glu_Growth_Glycolysis_C0,kr_GAPD2,2504032926839.0654
165,Glu_Growth_Glycolysis_C0,kr_GAPD1,89432.930747223
166,Glu_Growth_Glycolysis_C0,kr_TPI3,2262247675887.736
167,Glu_Growth_Glycolysis_C0,kf_PGMi3,127732.25884340607
168,Glu_Growth_Glycolysis_C0,kf_PGMi2,58455942.724028535
169,Glu_Growth_Glycolysis_C0,kf_PGMi1,770235550.3328214
170,Glu_Growth_Glycolysis_C0,kf_PFK15_84,316558.2264225017
171,Glu_Growth_Glycolysis_C0,kf_PGK9,41871432.309277825
172,Glu_Growth_Glycolysis_C0,kf_PGK8,12586604181.019577
173,Glu_Growth_Glycolysis_C0,kf_PGK7,10424.917588616432
174,Glu_Growth_Glycolysis_C0,kf_PGMd1,30930815130.934235
175,Glu_Growth_Glycolysis_C0,kf_PGK6,278903898.637397
176,Glu_Growth_Glycolysis_C0,kf_PGK4,589751635.4255812
177,Glu_Growth_Glycolysis_C0,kf_PGK3,8.840036632058425
178,Glu_Growth_Glycolysis_C0,kf_PGK2,2929975.7589962645
179,Glu_Growth_Glycolysis_C0,kf_PGK1,100454862828.30591
180,Glu_Growth_Glycolysis_C0,kf_GAPD6,2538430081.397258
181,Glu_Growth_Glycolysis_C0,kf_PFK11_85,3599998356398.8765
182,Glu_Growth_Glycolysis_C0,kf_GAPD5,3599998082841.6606
183,Glu_Growth_Glycolysis_C0,kf_PGK5,1867194897026.3237
184,Glu_Growth_Glycolysis_C0,kf_PGMd2,165362313.6891286
185,Glu_Growth_Glycolysis_C0,kf_PGMd3,1899832.2504679183
186,Glu_Growth_Glycolysis_C0,kf_ENO1,1828626952017.8975
187,Glu_Growth_Glycolysis_C0,kf_PPS2,136178.8227498948
188,Glu_Growth_Glycolysis_C0,kf_PFK13_84,3599998602486.3945
189,Glu_Growth_Glycolysis_C0,kf_PPS1,1302624803.1012797
190,Glu_Growth_Glycolysis_C0,kf_PYK25,277054542190.42737
191,Glu_Growth_Glycolysis_C0,kf_PYK24,4793034.43090235
192,Glu_Growth_Glycolysis_C0,kf_PYK23,169065108.23281482
193,Glu_Growth_Glycolysis_C0,kf_PYK22,111660.82952607404
194,Glu_Growth_Glycolysis_C0,kf_PYK21,583568279.2488322
195,Glu_Growth_Glycolysis_C0,lac__D_b,0.0046337902078134275
196,Glu_Growth_Glycolysis_C0,kf_PYK15,3446760303978.432
197,Glu_Growth_Glycolysis_C0,kf_PYK14,857975734401.9215
198,Glu_Growth_Glycolysis_C0,kf_PYK13,6666980441.048051
199,Glu_Growth_Glycolysis_C0,kf_PYK12,1782372.486145524
200,Glu_Growth_Glycolysis_C0,kf_PFK14_84,0.0036242180285375536
201,Glu_Growth_Glycolysis_C0,kf_PYK11,5098530333.400151
202,Glu_Growth_Glycolysis_C0,kf_ENO3,1477674.654455113
203,Glu_Growth_Glycolysis_C0,kf_ENO2,4946054.911981341
204,Glu_Growth_Glycolysis_C0,kf_GAPD4,2187405694643.605
205,Glu_Growth_Glycolysis_C0,kf_GAPD3,453307465099.0383
206,Glu_Growth_Glycolysis_C0,kf_GAPD2,4628403.2677839855
207,Glu_Growth_Glycolysis_C0,kf_GAPD1,231201737743.08633
208,Glu_Growth_Glycolysis_C0,kf_PFK25,3599999999306.434
209,Glu_Growth_Glycolysis_C0,kf_PFK24,542034.120320945
210,Glu_Growth_Glycolysis_C0,kf_PFK23,104119272178.13615
211,Glu_Growth_Glycolysis_C0,kf_PFK22,14699699.519331494
212,Glu_Growth_Glycolysis_C0,kf_PFK21,53233548681.19728
213,Glu_Growth_Glycolysis_C0,kf_PFK1_TransitionStep,900000.4327821656
214,Glu_Growth_Glycolysis_C0,kf_PFK15_87,283876.50246098114
215,Glu_Growth_Glycolysis_C0,kf_PFK14_85,0.003642346303735416
216,Glu_Growth_Glycolysis_C0,kf_PFK14_87,304210232347.36334
217,Glu_Growth_Glycolysis_C0,kf_PFK13_87,747702554.3787249
218,Glu_Growth_Glycolysis_C0,kf_PFK12_87,1466.555048816488
219,Glu_Growth_Glycolysis_C0,kf_PFK11_87,3587138147656.655
220,Glu_Growth_Glycolysis_C0,kf_PFK15_86,0.17839422937165209
221,Glu_Growth_Glycolysis_C0,kf_PFK14_86,1819541.7522721116
222,Glu_Growth_Glycolysis_C0,kf_PFK13_86,142830901657.2138
223,Glu_Growth_Glycolysis_C0,kf_PFK12_86,70660715.1143583
224,Glu_Growth_Glycolysis_C0,kf_PFK11_86,2288352918.458803
225,Glu_Growth_Glycolysis_C0,kf_FBP11,3572536228527.8384
226,Glu_Growth_Glycolysis_C0,kf_PPS3,15083522293.222483
227,Glu_Growth_Glycolysis_C0,kf_FBP12,99854.37824724092
228,Glu_Growth_Glycolysis_C0,kf_PFK13_85,44355766.22628634
229,Glu_Growth_Glycolysis_C0,kf_TPI3,3564766776141.8896
230,Glu_Growth_Glycolysis_C0,kf_TPI2,90713.61736217322
231,Glu_Growth_Glycolysis_C0,kf_TPI1,3599998898445.7983
232,Glu_Growth_Glycolysis_C0,kf_FBA24,220763589300.81592
233,Glu_Growth_Glycolysis_C0,kf_FBA23,8550861.767336901
234,Glu_Growth_Glycolysis_C0,kf_PFK12_85,22513549094.468884
235,Glu_Growth_Glycolysis_C0,kf_FBA22,33035.57543447793
236,Glu_Growth_Glycolysis_C0,kf_FBA21,2855744195478.544
237,Glu_Growth_Glycolysis_C0,kf_FBA14,32886967.850965474
238,Glu_Growth_Glycolysis_C0,kf_FBA13,1557.6387523751398
