,model,init_conds,value
0,Glu_Growth_Glycolysis_C0,f6p_c,0.0023922178373899892
1,Glu_Growth_Glycolysis_C0,E_ENO_c_2pg,1.7070128234251146e-06
2,Glu_Growth_Glycolysis_C0,E_ENO_c,1.966938380184344e-07
3,Glu_Growth_Glycolysis_C0,_3pg_c,0.009459762173275875
4,Glu_Growth_Glycolysis_C0,E_PGMd_c_2pg,1.1274484936567926e-08
5,Glu_Growth_Glycolysis_C0,E_PGMd_c_3pg,2.9797128795496207e-08
6,Glu_Growth_Glycolysis_C0,_2pg_c,0.001123724579594667
7,Glu_Growth_Glycolysis_C0,E_PGMd_c,9.510882328622884e-10
8,Glu_Growth_Glycolysis_C0,pep_c,0.0006313284197034365
9,Glu_Growth_Glycolysis_C0,E_PGMi_c_2pg,1.0957596847792725e-05
10,Glu_Growth_Glycolysis_C0,E_PGMi_c_3pg,5.619020661477103e-05
11,Glu_Growth_Glycolysis_C0,pyr_c,0.00041001553617198627
12,Glu_Growth_Glycolysis_C0,E_PGMi_c,1.2806821118707464e-06
13,Glu_Growth_Glycolysis_C0,E_PGK_c_3pg_atp,2.45592371882823e-06
14,Glu_Growth_Glycolysis_C0,amp_c,0.025560365262167314
15,Glu_Growth_Glycolysis_C0,E_PGK_c_13dpg_adp,6.264675242574183e-08
16,Glu_Growth_Glycolysis_C0,E_PGK_c_3pg,3.4562396224227834e-07
17,Glu_Growth_Glycolysis_C0,lac__D_c,0.002908976220926292
18,Glu_Growth_Glycolysis_C0,E_PGK_c_atp,6.444267229695971e-07
19,Glu_Growth_Glycolysis_C0,E_PGK_c_13dpg,4.142697234325328e-14
20,Glu_Growth_Glycolysis_C0,gdp_c,0.0008743879877912376
21,Glu_Growth_Glycolysis_C0,E_PGK_c_adp,3.6388683982876718e-09
22,Glu_Growth_Glycolysis_C0,E_PGI_c,6.353239543682526e-07
23,Glu_Growth_Glycolysis_C0,E_PGK_c,4.071305686359297e-07
24,Glu_Growth_Glycolysis_C0,E_GAPD_c_nad_g3p_pi,1.6245189288614093e-06
25,Glu_Growth_Glycolysis_C0,E_PGI_c_g6p,5.675780216599566e-06
26,Glu_Growth_Glycolysis_C0,nadh_c,1.0263017187931262e-05
27,Glu_Growth_Glycolysis_C0,E_ENO_c_pep,5.4962752144223775e-06
28,Glu_Growth_Glycolysis_C0,E_LDH_D_c_nadh_pyr,6.410719450841384e-12
29,Glu_Growth_Glycolysis_C0,E_PYK1_c,6.747483059337906e-08
30,Glu_Growth_Glycolysis_C0,adp_c,0.0015645048518140474
31,Glu_Growth_Glycolysis_C0,E_LDH_D_c,4.9621876142289835e-08
32,Glu_Growth_Glycolysis_C0,E_PPS_c_pep_amp_pi,1.1047324926756036e-08
33,Glu_Growth_Glycolysis_C0,atp_c,0.024842063683299918
34,Glu_Growth_Glycolysis_C0,E_PPS_c_pep_amp,0.0012064993098213394
35,Glu_Growth_Glycolysis_C0,E_PPS_c_pyr_atp,5.996042724198302e-07
36,Glu_Growth_Glycolysis_C0,fdp_c,0.0334864866651202
37,Glu_Growth_Glycolysis_C0,E_PPS_c_pep,3.6264297814296087e-07
38,Glu_Growth_Glycolysis_C0,E_PPS_c_pyr,2.614105448578532e-09
39,Glu_Growth_Glycolysis_C0,h_c,1.0
40,Glu_Growth_Glycolysis_C0,E_PPS_c,9.387797775378063e-08
41,Glu_Growth_Glycolysis_C0,h2o_c,1.0
42,Glu_Growth_Glycolysis_C0,E_GAPD_c_nadh_13dpg,1.7268548565176075e-09
43,Glu_Growth_Glycolysis_C0,E_PYK2_c_pyr_atp,2.5314453614560906e-09
44,Glu_Growth_Glycolysis_C0,pi_c,0.0012071770781587248
45,Glu_Growth_Glycolysis_C0,E_PYK2_c_atp,1.3085590679438987e-07
46,Glu_Growth_Glycolysis_C0,E_PYK2_c_adp,1.6134039895728986e-06
47,Glu_Growth_Glycolysis_C0,dhap_c,0.011946018588024073
48,Glu_Growth_Glycolysis_C0,E_PYK2_c,1.3319167697090215e-07
49,Glu_Growth_Glycolysis_C0,E_PYK1_c_pyr_atp,4.7589355845824146e-06
50,Glu_Growth_Glycolysis_C0,g3p_c,0.000277956827042846
51,Glu_Growth_Glycolysis_C0,E_PYK1_c_pep_adp,1.2775800322667383e-13
52,Glu_Growth_Glycolysis_C0,E_PYK1_c_atp,0.003060378719899621
53,Glu_Growth_Glycolysis_C0,_13dpg_c,0.0007341363136659516
54,Glu_Growth_Glycolysis_C0,E_PYK1_c_adp,1.9409153560098414e-07
55,Glu_Growth_Glycolysis_C0,nad_c,0.0643814470531075
56,Glu_Growth_Glycolysis_C0,E_PYK2_c_pep_adp,6.433392382479017e-14
57,Glu_Growth_Glycolysis_C0,E_LDH_D_c_lac__D,3.884400130684336e-12
58,Glu_Growth_Glycolysis_C0,E_GAPD_c_nad_g3p,1.633916886868315e-06
59,Glu_Growth_Glycolysis_C0,E_GAPD_c_nadh,2.014314951006386e-06
60,Glu_Growth_Glycolysis_C0,E_FBP1_c_fdp,7.574133830593869e-10
61,Glu_Growth_Glycolysis_C0,E_PFK1_c_f6p_gdp_gdp,6.346048527623463e-38
62,Glu_Growth_Glycolysis_C0,E_FBP1_c,1.0667191960318498e-09
63,Glu_Growth_Glycolysis_C0,E_PFK2_c_fdp_adp,2.889305825809023e-08
64,Glu_Growth_Glycolysis_C0,E_PFK1_c_fdp_gdp_gdp,2.786024507232029e-42
65,Glu_Growth_Glycolysis_C0,E_PFK2_c_f6p_atp,5.591682222804568e-15
66,Glu_Growth_Glycolysis_C0,E_PFK2_c_fdp,1.5792061641807217e-06
67,Glu_Growth_Glycolysis_C0,E_PFK1_c_f6p_atp_gdp_gdp,1.9423979610138561e-29
68,Glu_Growth_Glycolysis_C0,E_PFK2_c_f6p,1.3773488943848431e-11
