,model,fluxes,value
0,Pyr_Growth_Glycolysis_C0,SK_f6p_c,0.06724429016096195
1,Pyr_Growth_Glycolysis_C0,SK_lac__D_c,0.13677622128333525
2,Pyr_Growth_Glycolysis_C0,PYK12,0.14215830821922282
3,Pyr_Growth_Glycolysis_C0,PYK11,0.1421583082203783
4,Pyr_Growth_Glycolysis_C0,PGI1,-0.1708992757213963
5,Pyr_Growth_Glycolysis_C0,ENO3,-0.3016481621822552
6,Pyr_Growth_Glycolysis_C0,PGI2,-0.17089927572139274
7,Pyr_Growth_Glycolysis_C0,ENO2,-0.30164816218225354
8,Pyr_Growth_Glycolysis_C0,PGI3,-0.1708992757213917
9,Pyr_Growth_Glycolysis_C0,ENO1,-0.3016481621822571
10,Pyr_Growth_Glycolysis_C0,PFK11,0.020123352774329646
11,Pyr_Growth_Glycolysis_C0,PGMd3,-0.07172345553534737
12,Pyr_Growth_Glycolysis_C0,PGMd2,-0.07172345553534498
13,Pyr_Growth_Glycolysis_C0,PYK13,0.1421583082203784
14,Pyr_Growth_Glycolysis_C0,PFK12,0.02012335277432964
15,Pyr_Growth_Glycolysis_C0,PFK13,0.020123352774329653
16,Pyr_Growth_Glycolysis_C0,PGMi3,-0.2299247066469079
17,Pyr_Growth_Glycolysis_C0,PFK14,0.02012335277432964
18,Pyr_Growth_Glycolysis_C0,PGMi2,-0.2299247066468979
19,Pyr_Growth_Glycolysis_C0,PFK15,0.020123352774329646
20,Pyr_Growth_Glycolysis_C0,PGMi1,-0.22992470664690778
21,Pyr_Growth_Glycolysis_C0,PGK9,-0.185908014549647
22,Pyr_Growth_Glycolysis_C0,PFK11_84,5.057187061160636e-29
23,Pyr_Growth_Glycolysis_C0,PGK8,-0.18590796027274337
24,Pyr_Growth_Glycolysis_C0,PFK12_84,3.3605474562415103e-28
25,Pyr_Growth_Glycolysis_C0,PGK7,-5.4261249674003587e-08
26,Pyr_Growth_Glycolysis_C0,PFK13_84,-1.3396645433641172e-25
27,Pyr_Growth_Glycolysis_C0,PGMd1,-0.07172345553534731
28,Pyr_Growth_Glycolysis_C0,PGK6,-6.646678677086313e-10
29,Pyr_Growth_Glycolysis_C0,SK_amp_c,0.5786752571613505
30,Pyr_Growth_Glycolysis_C0,SK_pyr_c,0.541132466131056
31,Pyr_Growth_Glycolysis_C0,LDH_D3,-0.13677622128335543
32,Pyr_Growth_Glycolysis_C0,SK_atp_c,0.6150741935579407
33,Pyr_Growth_Glycolysis_C0,LDH_D2,-0.136776221283335
34,Pyr_Growth_Glycolysis_C0,SK_fdp_c,-2.414536337287013e-17
35,Pyr_Growth_Glycolysis_C0,LDH_D1,-0.13677622128333522
36,Pyr_Growth_Glycolysis_C0,PPS6,0.5786752571621037
37,Pyr_Growth_Glycolysis_C0,SK_h_c,0.0
38,Pyr_Growth_Glycolysis_C0,PPS5,0.5786752571613503
39,Pyr_Growth_Glycolysis_C0,SK_h2o_c,0.0
40,Pyr_Growth_Glycolysis_C0,PPS4,0.5786752571621037
41,Pyr_Growth_Glycolysis_C0,SK_pi_c,0.893048191432
42,Pyr_Growth_Glycolysis_C0,PPS3,0.5786752571613503
43,Pyr_Growth_Glycolysis_C0,PYK14,0.1421583080664277
44,Pyr_Growth_Glycolysis_C0,SK_dhap_c,-0.014011848343806315
45,Pyr_Growth_Glycolysis_C0,PPS1,0.5786752571613504
46,Pyr_Growth_Glycolysis_C0,SK_g3p_c,0.007390108227406182
47,Pyr_Growth_Glycolysis_C0,PYK25,0.03216070409325111
48,Pyr_Growth_Glycolysis_C0,SK_nad_c,0.3226842358329823
49,Pyr_Growth_Glycolysis_C0,PYK24,0.03216070409325111
50,Pyr_Growth_Glycolysis_C0,SK_nadh_c,0.32268423583298234
