,model,init_conds,value
0,Pyr_Growth_Glycolysis_C0,f6p_c,0.002449012018961916
1,Pyr_Growth_Glycolysis_C0,E_ENO_c_2pg,1.0342101712914033e-07
2,Pyr_Growth_Glycolysis_C0,E_ENO_c,3.137415317720541e-08
3,Pyr_Growth_Glycolysis_C0,_3pg_c,0.0012428649249412824
4,Pyr_Growth_Glycolysis_C0,E_PGMd_c_2pg,9.80309895863486e-08
5,Pyr_Growth_Glycolysis_C0,E_PGMd_c_3pg,1.1015251211119842e-07
6,Pyr_Growth_Glycolysis_C0,_2pg_c,0.000419220025451668
7,Pyr_Growth_Glycolysis_C0,E_PGMd_c,2.255893577382509e-08
8,Pyr_Growth_Glycolysis_C0,pep_c,0.0065993296612703155
9,Pyr_Growth_Glycolysis_C0,E_PGMi_c_2pg,3.0533344691106437e-06
10,Pyr_Growth_Glycolysis_C0,E_PGMi_c_3pg,9.059977531271682e-06
11,Pyr_Growth_Glycolysis_C0,pyr_c,6.587577525045105e-05
12,Pyr_Growth_Glycolysis_C0,E_PGMi_c,9.611052627452355e-07
13,Pyr_Growth_Glycolysis_C0,E_PGK_c_3pg_atp,7.267615316330135e-06
14,Pyr_Growth_Glycolysis_C0,amp_c,0.0004671763499859549
15,Pyr_Growth_Glycolysis_C0,E_PGK_c_13dpg_adp,3.173286746954198e-08
16,Pyr_Growth_Glycolysis_C0,E_PGK_c_3pg,7.121446732585752e-07
17,Pyr_Growth_Glycolysis_C0,lac__D_c,0.00021481217981089853
18,Pyr_Growth_Glycolysis_C0,E_PGK_c_atp,1.4514704739902107e-05
19,Pyr_Growth_Glycolysis_C0,E_PGK_c_13dpg,1.6410221020213484e-13
20,Pyr_Growth_Glycolysis_C0,gdp_c,9.404535501287114e-05
21,Pyr_Growth_Glycolysis_C0,E_PGK_c_adp,3.711813830785532e-09
22,Pyr_Growth_Glycolysis_C0,E_PGI_c,1.2169357133675013e-07
23,Pyr_Growth_Glycolysis_C0,E_PGK_c,6.454586647363173e-06
24,Pyr_Growth_Glycolysis_C0,E_GAPD_c_nad_g3p_pi,1.3284664261143407e-09
25,Pyr_Growth_Glycolysis_C0,E_PGI_c_g6p,4.581372615413137e-07
26,Pyr_Growth_Glycolysis_C0,nadh_c,0.0004142435617574788
27,Pyr_Growth_Glycolysis_C0,E_ENO_c_pep,8.353685624746823e-06
28,Pyr_Growth_Glycolysis_C0,E_LDH_D_c_nadh_pyr,2.3957933548689223e-08
29,Pyr_Growth_Glycolysis_C0,E_PYK1_c,2.936134049719865e-07
30,Pyr_Growth_Glycolysis_C0,adp_c,9.705301974007388e-05
31,Pyr_Growth_Glycolysis_C0,E_LDH_D_c,0.00010425428058493698
32,Pyr_Growth_Glycolysis_C0,E_PPS_c_pep_amp_pi,4.4113858131867995e-09
33,Pyr_Growth_Glycolysis_C0,atp_c,0.03568049653149287
34,Pyr_Growth_Glycolysis_C0,E_PPS_c_pep_amp,0.0006723141405679439
35,Pyr_Growth_Glycolysis_C0,E_PPS_c_pyr_atp,1.2855853521782903e-06
36,Pyr_Growth_Glycolysis_C0,fdp_c,6.351850442976071e-05
37,Pyr_Growth_Glycolysis_C0,E_PPS_c_pep,1.105599197334627e-05
38,Pyr_Growth_Glycolysis_C0,E_PPS_c_pyr,4.785636363374232e-09
39,Pyr_Growth_Glycolysis_C0,h_c,1.0
40,Pyr_Growth_Glycolysis_C0,E_PPS_c,6.785860640239756e-06
41,Pyr_Growth_Glycolysis_C0,h2o_c,1.0
42,Pyr_Growth_Glycolysis_C0,E_GAPD_c_nadh_13dpg,1.4907668510705025e-12
43,Pyr_Growth_Glycolysis_C0,E_PYK2_c_pyr_atp,6.726526347299592e-09
44,Pyr_Growth_Glycolysis_C0,pi_c,0.0008650144660101283
45,Pyr_Growth_Glycolysis_C0,E_PYK2_c_atp,5.542571975790273e-07
46,Pyr_Growth_Glycolysis_C0,E_PYK2_c_adp,4.122034750178231e-07
47,Pyr_Growth_Glycolysis_C0,dhap_c,0.0024753942917100148
48,Pyr_Growth_Glycolysis_C0,E_PYK2_c,1.0621810586576024e-06
49,Pyr_Growth_Glycolysis_C0,E_PYK1_c_pyr_atp,4.778366490606109e-06
50,Pyr_Growth_Glycolysis_C0,g3p_c,0.000824755704574783
51,Pyr_Growth_Glycolysis_C0,E_PYK1_c_pep_adp,4.1939905371923766e-14
52,Pyr_Growth_Glycolysis_C0,E_PYK1_c_atp,0.019125791137580436
53,Pyr_Growth_Glycolysis_C0,_13dpg_c,0.0001834294953391577
54,Pyr_Growth_Glycolysis_C0,E_PYK1_c_adp,6.058697987201214e-09
55,Pyr_Growth_Glycolysis_C0,nad_c,0.027899443800825104
56,Pyr_Growth_Glycolysis_C0,E_PYK2_c_pep_adp,1.717836184274272e-13
57,Pyr_Growth_Glycolysis_C0,E_LDH_D_c_lac__D,1.2452316036173829e-08
58,Pyr_Growth_Glycolysis_C0,E_GAPD_c_nad_g3p,1.8044218141076886e-09
59,Pyr_Growth_Glycolysis_C0,E_GAPD_c_nadh,7.360564802593066e-09
60,Pyr_Growth_Glycolysis_C0,E_FBP1_c_fdp,3.9828290165649146e-10
61,Pyr_Growth_Glycolysis_C0,E_PFK1_c_f6p_gdp_gdp,2.3264468157309076e-37
62,Pyr_Growth_Glycolysis_C0,E_FBP1_c,2.957186407172717e-07
63,Pyr_Growth_Glycolysis_C0,E_PFK2_c_fdp_adp,8.646296454761769e-09
64,Pyr_Growth_Glycolysis_C0,E_PFK1_c_fdp_gdp_gdp,1.8933563089799377e-44
65,Pyr_Growth_Glycolysis_C0,E_PFK2_c_f6p_atp,1.6854140280664936e-15
66,Pyr_Growth_Glycolysis_C0,E_PFK2_c_fdp,1.1033615771880829e-09
67,Pyr_Growth_Glycolysis_C0,E_PFK1_c_f6p_atp_gdp_gdp,1.1159078539541454e-28
68,Pyr_Growth_Glycolysis_C0,E_PFK2_c_f6p,2.8931325264326236e-12
69,Pyr_Growth_Glycolysis_C0,E_PFK1_c_fdp_adp_gdp_gdp,5.916655826098148e-35
70,Pyr_Growth_Glycolysis_C0,E_PFK2_c,5.043377179604164e-11
71,Pyr_Growth_Glycolysis_C0,E_PFK1_T_c_pep_pep_pep_pep,4.91101415560502e-12
72,Pyr_Growth_Glycolysis_C0,E_PFK1_c_gdp_gdp_gdp,6.289924434654436e-35
73,Pyr_Growth_Glycolysis_C0,E_PFK1_T_c_pep_pep_pep,2.2324982289601415e-12
74,Pyr_Growth_Glycolysis_C0,E_PFK1_T_c_pep_pep,3.805768155306917e-13
75,Pyr_Growth_Glycolysis_C0,E_PFK1_c_f6p_gdp_gdp_gdp,1.316891123182125e-34
76,Pyr_Growth_Glycolysis_C0,E_PFK1_T_c_pep,2.883440635460281e-14
77,Pyr_Growth_Glycolysis_C0,E_PFK1_T_c,8.1923966058827e-16
78,Pyr_Growth_Glycolysis_C0,E_PFK1_c_fdp_gdp_gdp_gdp,6.903159173922333e-43
79,Pyr_Growth_Glycolysis_C0,E_PFK1_c_fdp_adp_gdp_gdp_gdp_gdp,6.636432299079765e-36
80,Pyr_Growth_Glycolysis_C0,E_PFK1_c_f6p_atp_gdp_gdp_gdp_gdp,9.990982789890149e-35
81,Pyr_Growth_Glycolysis_C0,E_PFK1_c_f6p_atp_gdp_gdp_gdp,2.2372956259541908e-31
82,Pyr_Growth_Glycolysis_C0,E_PFK1_c_fdp_gdp_gdp_gdp_gdp,1.539771454086057e-29
83,Pyr_Growth_Glycolysis_C0,E_PFK1_c_fdp_adp_gdp_gdp_gdp,3.045581130450023e-41
84,Pyr_Growth_Glycolysis_C0,E_PFK1_c_f6p_gdp_gdp_gdp_gdp,2.9346890957473152e-37
85,Pyr_Growth_Glycolysis_C0,E_FBP1_c_f6p,1.4635280438214384e-06
86,Pyr_Growth_Glycolysis_C0,E_PFK1_c_gdp_gdp,9.435334013151046e-35
87,Pyr_Growth_Glycolysis_C0,E_FBP1_c_f6p_pi,9.046742762337788e-08
88,Pyr_Growth_Glycolysis_C0,E_FBP2_c,0.004087590339599869
89,Pyr_Growth_Glycolysis_C0,E_GAPD_c_nad,1.737439576162855e-05
90,Pyr_Growth_Glycolysis_C0,E_PFK1_c,3.2769547711629923e-09
91,Pyr_Growth_Glycolysis_C0,E_GAPD_c,2.120698161282435e-10
92,Pyr_Growth_Glycolysis_C0,E_PFK1_c_f6p,1.4124156280370557e-10
93,Pyr_Growth_Glycolysis_C0,E_TPI_c_g3p,4.5148991595447287e-07
94,Pyr_Growth_Glycolysis_C0,E_TPI_c_dhap,2.865213876676245e-07
95,Pyr_Growth_Glycolysis_C0,E_PFK1_c_fdp,1.013550384544988e-06
96,Pyr_Growth_Glycolysis_C0,E_TPI_c,3.815879281556209e-09
97,Pyr_Growth_Glycolysis_C0,E_FBA2_c_dhap_g3p,9.218177458756113e-14
98,Pyr_Growth_Glycolysis_C0,E_PFK1_c_f6p_atp,5.974900205794625e-15
99,Pyr_Growth_Glycolysis_C0,E_FBA2_c_dhap,0.0003853618662944855
100,Pyr_Growth_Glycolysis_C0,E_FBA2_c_fdp,9.405577312803447e-12
101,Pyr_Growth_Glycolysis_C0,E_PGI_c_f6p,2.5100091049517657e-06
102,Pyr_Growth_Glycolysis_C0,E_PFK1_c_fdp_adp,3.948799064936935e-14
103,Pyr_Growth_Glycolysis_C0,E_PFK1_c_gdp,6.235941491040338e-24
104,Pyr_Growth_Glycolysis_C0,E_FBA1_c_dhap_g3p,6.364691233312204e-08
105,Pyr_Growth_Glycolysis_C0,E_FBA1_c_dhap,1.1631072626216995e-05
106,Pyr_Growth_Glycolysis_C0,E_PFK1_c_f6p_gdp,1.326890866994347e-27
107,Pyr_Growth_Glycolysis_C0,E_FBA1_c_fdp,7.1110817501250446e-06
108,Pyr_Growth_Glycolysis_C0,E_FBA1_c,9.894480118573964e-08
109,Pyr_Growth_Glycolysis_C0,E_PFK1_c_fdp_gdp,3.934518016530057e-28
110,Pyr_Growth_Glycolysis_C0,E_FBP2_c_f6p_pi,0.000173435584201571
111,Pyr_Growth_Glycolysis_C0,E_FBP2_c_f6p,1.1215404424648468e-07
112,Pyr_Growth_Glycolysis_C0,E_PFK1_c_f6p_atp_gdp,2.3328903582076011e-23
113,Pyr_Growth_Glycolysis_C0,E_FBP2_c_fdp,5.3665818900172384e-11
114,Pyr_Growth_Glycolysis_C0,E_PFK1_c_fdp_adp_gdp,9.28030048557866e-26
115,Pyr_Growth_Glycolysis_C0,E_FBA2_c,6.112888462329051e-09
116,Pyr_Growth_Glycolysis_C0,E_LDH_D_c_pyr,4.786784193101411e-09
117,Pyr_Growth_Glycolysis_C0,E_PFK1_c_gdp_gdp_gdp_gdp,4.7174433228068225e-35
118,Pyr_Growth_Glycolysis_C0,g6p_c,0.0020349753090963714
119,Pyr_Growth_Glycolysis_C0,E_LDH_D_c_lac__D_nad,1.2870829047495309e-05
120,Pyr_Growth_Glycolysis_C1,E_TPI_c_dhap,1.6590604485311494e-07
121,Pyr_Growth_Glycolysis_C1,E_PGI_c,2.296181902371023e-06
122,Pyr_Growth_Glycolysis_C1,E_PFK2_c_f6p,3.963714117631248e-11
123,Pyr_Growth_Glycolysis_C1,E_PPS_c_pep_amp,0.0011620904513712112
124,Pyr_Growth_Glycolysis_C1,E_PGMd_c_3pg,1.076783570287586e-07
125,Pyr_Growth_Glycolysis_C1,_2pg_c,0.0018661710381796892
126,Pyr_Growth_Glycolysis_C1,E_FBA1_c_dhap_g3p,8.710254611712473e-08
127,Pyr_Growth_Glycolysis_C1,E_PFK1_c_gdp,2.8114011820717143e-22
128,Pyr_Growth_Glycolysis_C1,E_PGK_c,1.0635440175519695e-05
129,Pyr_Growth_Glycolysis_C1,E_PPS_c_pyr_atp,1.702040032634609e-06
130,Pyr_Growth_Glycolysis_C1,E_FBA2_c,6.583750338157879e-07
131,Pyr_Growth_Glycolysis_C1,fdp_c,5.779377876780046e-05
132,Pyr_Growth_Glycolysis_C1,E_PGK_c_3pg_atp,5.055443587528654e-06
133,Pyr_Growth_Glycolysis_C1,E_LDH_D_c_nadh_pyr,1.5280082931984176e-08
134,Pyr_Growth_Glycolysis_C1,dhap_c,0.00025025434582502936
135,Pyr_Growth_Glycolysis_C1,E_ENO_c_pep,8.356366288667145e-06
136,Pyr_Growth_Glycolysis_C1,E_PFK1_T_c_pep_pep_pep,5.845313195426249e-09
137,Pyr_Growth_Glycolysis_C1,E_PGMd_c,5.023392032982588e-09
138,Pyr_Growth_Glycolysis_C1,E_GAPD_c_nad_g3p_pi,2.584576102356632e-10
139,Pyr_Growth_Glycolysis_C1,E_FBP1_c,3.388127428097416e-07
140,Pyr_Growth_Glycolysis_C1,nadh_c,0.0001002905119987687
141,Pyr_Growth_Glycolysis_C1,E_PFK1_c_fdp_adp_gdp_gdp_gdp,6.938582794789507e-61
142,Pyr_Growth_Glycolysis_C1,E_PFK1_c_f6p_gdp_gdp_gdp_gdp,1.5997897288469915e-71
143,Pyr_Growth_Glycolysis_C1,E_PYK2_c,1.7262198157352768e-07
144,Pyr_Growth_Glycolysis_C1,E_FBP1_c_f6p,1.2844884865654662e-06
145,Pyr_Growth_Glycolysis_C1,E_LDH_D_c,9.337990872333874e-06
