,model,parameters,value
0,Glu_Growth_Glycolysis_C0,kf_SK_f6p_c,737.4381258994181
1,Glu_Growth_Glycolysis_C0,v_SK_nad_c,1.993017727624094
2,Glu_Growth_Glycolysis_C0,v_SK_g3p_c,-0.11972483491892659
3,Glu_Growth_Glycolysis_C0,kf_SK_pyr_c,2879.989672422875
4,Glu_Growth_Glycolysis_C0,v_SK_dhap_c,-5.061733842826104e-06
5,Glu_Growth_Glycolysis_C0,v_SK_pi_c,1.6172009131422476
6,Glu_Growth_Glycolysis_C0,v_SK_h2o_c,0.0
7,Glu_Growth_Glycolysis_C0,v_SK_h_c,0.0
8,Glu_Growth_Glycolysis_C0,v_SK_nadh_c,1.9930177276241032
9,Glu_Growth_Glycolysis_C0,v_SK_atp_c,1.5971776350047435
10,Glu_Growth_Glycolysis_C0,v_SK_g6p_c,0.45461206533643056
11,Glu_Growth_Glycolysis_C0,v_SK_f6p_c,1.5109785978790642
12,Glu_Growth_Glycolysis_C0,kr_LDH_D5,10607973.434607612
13,Glu_Growth_Glycolysis_C0,kr_LDH_D4,140098854330.02203
14,Glu_Growth_Glycolysis_C0,kr_LDH_D3,9019902.315499187
15,Glu_Growth_Glycolysis_C0,kf_SK_amp_c,4.929075640118787
16,Glu_Growth_Glycolysis_C0,kr_LDH_D2,451149679.2571601
17,Glu_Growth_Glycolysis_C0,v_SK_adp_c,1.6456931554998668
18,Glu_Growth_Glycolysis_C0,v_SK__3pg_c,-0.16361025203096718
19,Glu_Growth_Glycolysis_C0,v_SK_pep_c,1.1687856865534638
20,Glu_Growth_Glycolysis_C0,v_SK_pyr_c,0.987842293101604
21,Glu_Growth_Glycolysis_C0,v_PFK15_84,-6.206264564213158e-27
22,Glu_Growth_Glycolysis_C0,kf_SK__3pg_c,26.30501881062467
23,Glu_Growth_Glycolysis_C0,v_PFK14_84,-6.1684722752750595e-27
24,Glu_Growth_Glycolysis_C0,v_PFK13_84,-1.480534146918795e-26
