,model,init_conds,value
0,Pyr_Growth_Glycolysis_C0,f6p_c,0.002324050072918002
1,Pyr_Growth_Glycolysis_C0,E_ENO_c_2pg,1.03744467890025e-07
2,Pyr_Growth_Glycolysis_C0,E_ENO_c,3.095230927156669e-08
3,Pyr_Growth_Glycolysis_C0,_3pg_c,0.0012567094016522982
4,Pyr_Growth_Glycolysis_C0,E_PGMd_c_2pg,1.9677515409389306e-07
5,Pyr_Growth_Glycolysis_C0,E_PGMd_c_3pg,2.2017606179130806e-07
6,Pyr_Growth_Glycolysis_C0,_2pg_c,0.00042628750945739003
7,Pyr_Growth_Glycolysis_C0,E_PGMd_c,4.4533659057543184e-08
8,Pyr_Growth_Glycolysis_C0,pep_c,0.006689273093261899
9,Pyr_Growth_Glycolysis_C0,E_PGMi_c_2pg,2.0412063358180274e-06
10,Pyr_Growth_Glycolysis_C0,E_PGMi_c_3pg,6.043199729944709e-06
11,Pyr_Growth_Glycolysis_C0,pyr_c,6.52855183692862e-05
12,Pyr_Growth_Glycolysis_C0,E_PGMi_c,6.318721096557024e-07
13,Pyr_Growth_Glycolysis_C0,E_PGK_c_3pg_atp,7.3334640317154335e-06
14,Pyr_Growth_Glycolysis_C0,amp_c,0.00046558279166730444
15,Pyr_Growth_Glycolysis_C0,E_PGK_c_13dpg_adp,3.215183585900349e-08
16,Pyr_Growth_Glycolysis_C0,E_PGK_c_3pg,7.156319318312704e-07
17,Pyr_Growth_Glycolysis_C0,lac__D_c,0.000214845960306014
18,Pyr_Growth_Glycolysis_C0,E_PGK_c_atp,1.4484866494148997e-05
19,Pyr_Growth_Glycolysis_C0,E_PGK_c_13dpg,1.6591466536423458e-13
20,Pyr_Growth_Glycolysis_C0,gdp_c,9.404535501287114e-05
21,Pyr_Growth_Glycolysis_C0,E_PGK_c_adp,3.7147386455830837e-09
22,Pyr_Growth_Glycolysis_C0,E_PGI_c,1.271266473374044e-07
23,Pyr_Growth_Glycolysis_C0,E_PGK_c,6.414667035245262e-06
24,Pyr_Growth_Glycolysis_C0,E_GAPD_c_nad_g3p_pi,1.672988834445888e-09
25,Pyr_Growth_Glycolysis_C0,E_PGI_c_g6p,4.7401465623202725e-07
26,Pyr_Growth_Glycolysis_C0,nadh_c,0.0004179123791752383
27,Pyr_Growth_Glycolysis_C0,E_ENO_c_pep,8.353784017891556e-06
28,Pyr_Growth_Glycolysis_C0,E_LDH_D_c_nadh_pyr,2.3932900370716084e-08
29,Pyr_Growth_Glycolysis_C0,E_PYK1_c,1.9493502909473065e-07
30,Pyr_Growth_Glycolysis_C0,adp_c,9.774010398671428e-05
31,Pyr_Growth_Glycolysis_C0,E_LDH_D_c,0.00010429206924447318
32,Pyr_Growth_Glycolysis_C0,E_PPS_c_pep_amp_pi,4.373776709966743e-09
33,Pyr_Growth_Glycolysis_C0,atp_c,0.03582833429039065
34,Pyr_Growth_Glycolysis_C0,E_PPS_c_pep_amp,0.0006723001876431147
35,Pyr_Growth_Glycolysis_C0,E_PPS_c_pyr_atp,1.272522420778867e-06
36,Pyr_Growth_Glycolysis_C0,fdp_c,0.00010309133418576425
37,Pyr_Growth_Glycolysis_C0,E_PPS_c_pep,1.1093606891939447e-05
38,Pyr_Growth_Glycolysis_C0,E_PPS_c_pyr,4.717133595801839e-09
39,Pyr_Growth_Glycolysis_C0,h_c,1.0
40,Pyr_Growth_Glycolysis_C0,E_PPS_c,6.775367689745808e-06
41,Pyr_Growth_Glycolysis_C0,h2o_c,1.0
42,Pyr_Growth_Glycolysis_C0,E_GAPD_c_nadh_13dpg,1.8555795950661276e-12
43,Pyr_Growth_Glycolysis_C0,E_PYK2_c_pyr_atp,1.3599991276103415e-08
44,Pyr_Growth_Glycolysis_C0,pi_c,0.0008576576987982715
45,Pyr_Growth_Glycolysis_C0,E_PYK2_c_atp,1.1157282534616072e-06
46,Pyr_Growth_Glycolysis_C0,E_PYK2_c_adp,8.222243315914183e-07
47,Pyr_Growth_Glycolysis_C0,dhap_c,0.003186460877868537
48,Pyr_Growth_Glycolysis_C0,E_PYK2_c,2.1191839351140426e-06
49,Pyr_Growth_Glycolysis_C0,E_PYK1_c_pyr_atp,3.157041681239844e-06
50,Pyr_Growth_Glycolysis_C0,g3p_c,0.0010554109700233803
51,Pyr_Growth_Glycolysis_C0,E_PYK1_c_pep_adp,2.80442871918234e-14
