,model,fluxes,value
0,Pyr_Growth_Glycolysis_C0,SK_f6p_c,0.07003888216918641
1,Pyr_Growth_Glycolysis_C0,SK_lac__D_c,0.13784059355266534
2,Pyr_Growth_Glycolysis_C0,PYK12,0.001974005242061594
3,Pyr_Growth_Glycolysis_C0,PYK11,0.0019740052419888934
4,Pyr_Growth_Glycolysis_C0,PGI1,-0.1556055795797775
5,Pyr_Growth_Glycolysis_C0,ENO3,-0.2992389350969928
6,Pyr_Growth_Glycolysis_C0,PGI2,-0.15560557957977927
7,Pyr_Growth_Glycolysis_C0,ENO2,-0.2992389350969873
8,Pyr_Growth_Glycolysis_C0,PGI3,-0.15560557957977994
9,Pyr_Growth_Glycolysis_C0,ENO1,-0.2992389350969873
10,Pyr_Growth_Glycolysis_C0,PFK11,6.615056535084865e-05
11,Pyr_Growth_Glycolysis_C0,PGMd3,-0.2960593383376384
12,Pyr_Growth_Glycolysis_C0,PGMd2,-0.296059338337642
13,Pyr_Growth_Glycolysis_C0,PYK13,0.0019740052419888942
14,Pyr_Growth_Glycolysis_C0,PFK12,6.615056535084693e-05
15,Pyr_Growth_Glycolysis_C0,PFK13,6.615056535084864e-05
16,Pyr_Growth_Glycolysis_C0,PGMi3,-0.0031795967593544645
17,Pyr_Growth_Glycolysis_C0,PFK14,6.615056535084845e-05
18,Pyr_Growth_Glycolysis_C0,PGMi2,-0.0031795967593541974
19,Pyr_Growth_Glycolysis_C0,PFK15,6.615056535084868e-05
20,Pyr_Growth_Glycolysis_C0,PGMi1,-0.0031795967593544593
21,Pyr_Growth_Glycolysis_C0,PGK9,-0.17152731767876883
22,Pyr_Growth_Glycolysis_C0,PFK11_84,3.542407532232095e-28
23,Pyr_Growth_Glycolysis_C0,PGK8,-0.17152726966014598
24,Pyr_Growth_Glycolysis_C0,PFK12_84,-2.4995248834178242e-26
25,Pyr_Growth_Glycolysis_C0,PGK7,-4.800500547075259e-08
26,Pyr_Growth_Glycolysis_C0,PFK13_84,2.1958732157732085e-25
27,Pyr_Growth_Glycolysis_C0,PGMd1,-0.2960593383376384
28,Pyr_Growth_Glycolysis_C0,PGK6,-6.136387626864628e-10
29,Pyr_Growth_Glycolysis_C0,SK_amp_c,0.5616828978969585
30,Pyr_Growth_Glycolysis_C0,SK_pyr_c,0.5641760508021701
31,Pyr_Growth_Glycolysis_C0,LDH_D3,-0.1378405935526672
32,Pyr_Growth_Glycolysis_C0,SK_atp_c,0.6127431378830756
33,Pyr_Growth_Glycolysis_C0,LDH_D2,-0.13784059355266498
34,Pyr_Growth_Glycolysis_C0,SK_fdp_c,-1.5398943638631407e-17
35,Pyr_Growth_Glycolysis_C0,LDH_D1,-0.13784059355266534
36,Pyr_Growth_Glycolysis_C0,PPS6,0.5616828978982085
37,Pyr_Growth_Glycolysis_C0,SK_h_c,0.0
38,Pyr_Growth_Glycolysis_C0,PPS5,0.5616828978969585
39,Pyr_Growth_Glycolysis_C0,SK_h2o_c,0.0
40,Pyr_Growth_Glycolysis_C0,PPS4,0.5616828978927515
41,Pyr_Growth_Glycolysis_C0,SK_pi_c,0.8336572759411227
42,Pyr_Growth_Glycolysis_C0,PPS3,0.5616828978969586
43,Pyr_Growth_Glycolysis_C0,PYK14,0.0019740052448469214
44,Pyr_Growth_Glycolysis_C0,SK_dhap_c,0.0015321168711560566
45,Pyr_Growth_Glycolysis_C0,PPS1,0.5616828978969584
46,Pyr_Growth_Glycolysis_C0,SK_g3p_c,0.0011381940135743358
47,Pyr_Growth_Glycolysis_C0,PYK25,0.1333734354054647
48,Pyr_Growth_Glycolysis_C0,SK_nad_c,0.3093679112314341
49,Pyr_Growth_Glycolysis_C0,PYK24,0.13337343540546467
50,Pyr_Growth_Glycolysis_C0,SK_nadh_c,0.30936791123143415
51,Pyr_Growth_Glycolysis_C0,PYK23,0.13337343540546454
52,Pyr_Growth_Glycolysis_C0,SK__3pg_c,0.12771161741822393
53,Pyr_Growth_Glycolysis_C0,PYK22,0.1333734354054646
54,Pyr_Growth_Glycolysis_C0,PYK21,0.1333734354054647
55,Pyr_Growth_Glycolysis_C0,SK_pep_c,0.12709652215251213
56,Pyr_Growth_Glycolysis_C0,PYK15,0.001974005241988893
57,Pyr_Growth_Glycolysis_C0,PPS2,0.5616828978969589
58,Pyr_Growth_Glycolysis_C0,PFK14_84,-2.4995248375431898e-26
59,Pyr_Growth_Glycolysis_C0,PGK5,-0.17152731706512991
60,Pyr_Growth_Glycolysis_C0,PGK4,-0.17152726967373155
61,Pyr_Growth_Glycolysis_C0,PFK14_87,2.879113997761057e-72
62,Pyr_Growth_Glycolysis_C0,FBA13,-0.0018208441357828763
63,Pyr_Growth_Glycolysis_C0,PFK15_87,2.8791139980602325e-72
64,Pyr_Growth_Glycolysis_C0,FBA12,-0.0018208441357803196
65,Pyr_Growth_Glycolysis_C0,FBA11,-0.0018208441357828761
66,Pyr_Growth_Glycolysis_C0,PFK1_Activation_gdp_88,2.534948435847741e-26
67,Pyr_Growth_Glycolysis_C0,FBP24,0.09836759407244244
68,Pyr_Growth_Glycolysis_C0,PFK1_Activation_gdp_89,-1.4860550835580488e-36
69,Pyr_Growth_Glycolysis_C0,FBP23,0.09836759407244894
70,Pyr_Growth_Glycolysis_C0,PFK1_Activation_gdp_90,8.211220041830918e-59
71,Pyr_Growth_Glycolysis_C0,FBP22,0.09836759407244894
72,Pyr_Growth_Glycolysis_C0,PFK1_Activation_gdp_91,-2.4773389260823108e-74
73,Pyr_Growth_Glycolysis_C0,FBA14,-0.001820844135782873
74,Pyr_Growth_Glycolysis_C0,FBP21,0.09836759407244897
75,Pyr_Growth_Glycolysis_C0,FBP14,0.0020794662929475294
76,Pyr_Growth_Glycolysis_C0,FBP13,0.002079466292946522
77,Pyr_Growth_Glycolysis_C0,PFK1_Inhibition_pep_93,-2.2416271482760271e-26
78,Pyr_Growth_Glycolysis_C0,FBP12,0.002079466292946523
79,Pyr_Growth_Glycolysis_C0,PFK1_Inhibition_pep_94,-2.261821987449685e-26
80,Pyr_Growth_Glycolysis_C0,FBP11,0.002079466292946641
81,Pyr_Growth_Glycolysis_C0,PFK1_Inhibition_pep_95,-1.9387045606711586e-26
82,Pyr_Growth_Glycolysis_C0,PFK25,0.014814212389451051
83,Pyr_Growth_Glycolysis_C0,PFK1_TransitionStep,-1.6940658945086007e-21
84,Pyr_Growth_Glycolysis_C0,PFK24,0.014814212389451051
85,Pyr_Growth_Glycolysis_C0,PFK23,0.014814212389451055
86,Pyr_Growth_Glycolysis_C0,PFK21,0.014814212389451055
87,Pyr_Growth_Glycolysis_C0,PFK1_Inhibition_pep_92,-2.2498313016903257e-26
88,Pyr_Growth_Glycolysis_C0,PFK13_87,2.879114976407467e-72
89,Pyr_Growth_Glycolysis_C0,FBA21,-0.08374585327480943
90,Pyr_Growth_Glycolysis_C0,PFK12_87,2.879113998390965e-72
91,Pyr_Growth_Glycolysis_C0,PFK15_84,1.7091894246016313e-25
92,Pyr_Growth_Glycolysis_C0,PGK3,-4.8005005468936554e-08
93,Pyr_Growth_Glycolysis_C0,PFK11_85,-1.4860538729292306e-36
94,Pyr_Growth_Glycolysis_C0,PGK2,-6.136387635004292e-10
95,Pyr_Growth_Glycolysis_C0,PFK12_85,8.278942640866988e-43
96,Pyr_Growth_Glycolysis_C0,PGK1,-0.17152731706514146
97,Pyr_Growth_Glycolysis_C0,PFK13_85,-1.48605418827673e-36
98,Pyr_Growth_Glycolysis_C0,GAPD6,-0.17152731767876706
99,Pyr_Growth_Glycolysis_C0,GAPD5,-0.17152731767876972
100,Pyr_Growth_Glycolysis_C0,PFK14_85,8.278942642436988e-43
101,Pyr_Growth_Glycolysis_C0,GAPD4,-0.17152731767876794
102,Pyr_Growth_Glycolysis_C0,PFK15_85,3.986584654561579e-44
103,Pyr_Growth_Glycolysis_C0,GAPD3,-0.17152731767782825
104,Pyr_Growth_Glycolysis_C0,PFK11_86,3.585793842455595e-57
105,Pyr_Growth_Glycolysis_C0,GAPD2,-0.17152731767876883
106,Pyr_Growth_Glycolysis_C0,PFK12_86,3.5890785896457236e-57
107,Pyr_Growth_Glycolysis_C0,GAPD1,-0.17152731767876905
108,Pyr_Growth_Glycolysis_C0,TPI3,-0.08709881408140063
109,Pyr_Growth_Glycolysis_C0,PFK13_86,3.5672559968815546e-57
110,Pyr_Growth_Glycolysis_C0,TPI2,-0.08709881428174965
111,Pyr_Growth_Glycolysis_C0,PFK14_86,3.589078589645319e-57
112,Pyr_Growth_Glycolysis_C0,TPI1,-0.08709881428175237
113,Pyr_Growth_Glycolysis_C0,PFK15_86,3.5890785025675304e-57
114,Pyr_Growth_Glycolysis_C0,FBA24,-0.08374585327481071
115,Pyr_Growth_Glycolysis_C0,PFK11_87,2.8598391494717213e-72
116,Pyr_Growth_Glycolysis_C0,FBA23,-0.08374585327481067
117,Pyr_Growth_Glycolysis_C0,FBA22,-0.08374585327481299
118,Pyr_Growth_Glycolysis_C0,SK_adp_c,0.05106023998611718
119,Pyr_Growth_Glycolysis_C0,LDH_D4,-0.13784059355266537
120,Pyr_Growth_Glycolysis_C0,PFK22,0.014814212389451048
121,Pyr_Growth_Glycolysis_C0,SK_g6p_c,0.15560557957977994
122,Pyr_Growth_Glycolysis_C0,LDH_D5,-0.13784059355266537
123,Pyr_Growth_Glycolysis_C1,TPI3,-0.08725753240287304
124,Pyr_Growth_Glycolysis_C1,PFK12_86,3.9078773735141065e-57
125,Pyr_Growth_Glycolysis_C1,GAPD2,-0.17327511240132726
126,Pyr_Growth_Glycolysis_C1,FBP21,0.10141797620188683
127,Pyr_Growth_Glycolysis_C1,SK_amp_c,0.6698748878962574
128,Pyr_Growth_Glycolysis_C1,SK_nad_c,0.311009246836645
129,Pyr_Growth_Glycolysis_C1,PGK9,-0.1732751124013273
130,Pyr_Growth_Glycolysis_C1,PFK1_Inhibition_pep_95,1.2705494208814505e-21
131,Pyr_Growth_Glycolysis_C1,PFK11_84,-4.754976791878657e-30
132,Pyr_Growth_Glycolysis_C1,PFK11_86,-1.5375611378167858e-53
133,Pyr_Growth_Glycolysis_C1,GAPD3,-0.17327511240137028
134,Pyr_Growth_Glycolysis_C1,PYK14,0.002433472342090681
135,Pyr_Growth_Glycolysis_C1,FBP11,0.0018521662501596037
136,Pyr_Growth_Glycolysis_C1,SK_fdp_c,-1.3731898062870352e-17
137,Pyr_Growth_Glycolysis_C1,PGMi1,-0.003325734987835321
138,Pyr_Growth_Glycolysis_C1,SK_g6p_c,0.11626752329662494
139,Pyr_Growth_Glycolysis_C1,PFK15,0.00024150313246374734
140,Pyr_Growth_Glycolysis_C1,PYK25,0.11609356161841908
141,Pyr_Growth_Glycolysis_C1,TPI1,-0.08725753248513612
142,Pyr_Growth_Glycolysis_C1,SK_adp_c,0.06953742877150942
143,Pyr_Growth_Glycolysis_C1,PPS1,0.6698748878962573
144,Pyr_Growth_Glycolysis_C1,PFK14_86,5.698453666131903e-57
