,model,init_conds,value
0,PYK,adp_c,0.29
1,PYK,pyk_T3_c,1.153058e-06
2,PYK,pyk_T2_c,3.664563e-06
3,PYK,pyk_T1_c,5.176196e-06
4,PYK,pyk_T0_c,2.741766e-06
5,PYK,pyk_R4_c,1.0490791e-05
6,PYK,pyk_R4_P_c,4.50945e-07
7,PYK,pyk_R4_A_c,6.234694e-06
8,PYK,pyk_R4_AP_c,1.04595e-07
9,PYK,pyk_R3_c,1.4370947e-05
10,PYK,pyk_R3_P_c,6.17733e-07
11,PYK,pyk_R3_A_c,8.540676e-06
12,PYK,pyk_R3_AP_c,1.4328e-07
13,PYK,pyk_R2_c,7.382336e-06
14,PYK,pyk_T4_c,1.36054e-07
15,PYK,pyk_R2_P_c,3.17329e-07
16,PYK,pyk_R2_AP_c,7.3603e-08
17,PYK,pyk_R1_c,1.685465e-06
18,PYK,pyk_R1_P_c,7.245e-08
19,PYK,pyk_R1_A_c,1.001674e-06
20,PYK,pyk_R1_AP_c,1.6804e-08
21,PYK,pyk_R0_c,1.44303e-07
22,PYK,pyk_R0_P_c,6.203e-09
23,PYK,pyk_R0_A_c,8.576e-08
24,PYK,pyk_R0_AP_c,1.439e-09
25,PYK,pep_c,0.017
26,PYK,h_c,8.99757e-05
27,PYK,fdp_c,0.0146
28,PYK,atp_c,1.6
29,PYK,pyk_R2_A_c,4.387334e-06
30,PYK,pyr_c,0.060301
