,model,parameters,value
0,Hemoglobin,Keq_DPGM,2300000.0
1,Hemoglobin,v_HBO3,0.0
2,Hemoglobin,v_HBO2,0.0
3,Hemoglobin,v_HBO1,0.0
4,Hemoglobin,v_HBDPG,0.0
5,Hemoglobin,v_DPGase,0.441
6,Hemoglobin,v_DPGM,0.441
7,Hemoglobin,o2_b,0.0200788
8,Hemoglobin,kf_SK_o2_c,509726.0
9,Hemoglobin,kf_HBO4,501595.0
10,Hemoglobin,kf_HBO3,509243.0
11,Hemoglobin,v_HBO4,0.0
12,Hemoglobin,kf_HBO2,511077.0
13,Hemoglobin,kf_HBDPG,519613.0
14,Hemoglobin,kf_DPGase,0.14225806451612902
15,Hemoglobin,kf_DPGM,1824.9370277078087
16,Hemoglobin,Keq_SK_o2_c,1.0
17,Hemoglobin,Keq_HBO4,1289.92
18,Hemoglobin,Keq_HBO3,177.799
19,Hemoglobin,Keq_HBO2,73.2115
20,Hemoglobin,Keq_HBO1,41.8352
21,Hemoglobin,Keq_HBDPG,0.25
22,Hemoglobin,Keq_DPGase,inf
23,Hemoglobin,kf_HBO1,506935.0
24,Hemoglobin,v_SK_o2_c,0.0
