,mean,std,min,25%,50%,75%,max
_13dpg_c,7.457708286717294e-05,8.668439040203691e-05,3.3825184100714865e-06,1.67901975306711e-05,3.813327636319967e-05,9.765916596378209e-05,0.0004466277246016823
_2pg_c,0.0009570190849238952,0.0010809573885118395,6.008382428576604e-05,0.00018574540406758678,0.0005147298488561223,0.0014097487490488444,0.004209833732264954
_3pg_c,0.002770249137385678,0.0031266445374987842,0.00017715141325080783,0.0005386356086036336,0.0014917968324755847,0.004085213259106088,0.012124081939686674
adp_c,0.0006227306076401402,0.0007683087320712232,3.949217530296225e-05,0.00010083693227461843,0.000330138629811667,0.0008110935895053175,0.0030246167171221567
amp_c,0.004203555726383389,0.004525939764736952,0.00017886640804616727,0.0007178487849043561,0.002129859346670865,0.00610087665484278,0.016002811526661907
atp_c,0.039765771506159654,0.04529378264504784,0.0026856465419489465,0.0073575429406302455,0.021869666933341927,0.05597669522466415,0.21676118969905644
dhap_c,0.00400520514071322,0.0034252857468913714,0.00034250792727889145,0.0014680494804618703,0.0028959934505751435,0.005562707995298927,0.015937979496023384
f6p_c,0.001953636756315399,0.002140140977639053,0.00011961405826687692,0.00044966385343146584,0.0011025990081369981,0.002686650287177177,0.009318492563302614
fdp_c,0.0003275147234090211,0.0003638389008859554,2.3647882966999903e-05,7.617012243927604e-05,0.0001849917381855871,0.00045497629746095794,0.0017132075788800578
g3p_c,0.0017557824709514842,0.0015214712343693923,0.00016776403993675414,0.0006620531714079064,0.0012432984805447961,0.002584348468643724,0.006974339683961962
g6p_c,0.002839653858629663,0.003616511492410517,0.00022232712247325872,0.0004885298364313288,0.0012741513980455837,0.00404985083521772,0.017743607768743327
gdp_c,0.0020042388475249836,0.0019093575019932408,8.479054112872388e-05,0.0003938322906720523,0.0014698907645663319,0.0031866068085106255,0.006346745091807637
h2o_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
h_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
lac__D_c,0.003072986682394139,0.0036113533218809987,0.00016615962742643828,0.0003686987400875259,0.0011988389632967146,0.005309982374627463,0.013463084490787532
nad_c,0.02051635458459652,0.024285047747694653,0.001399976523523749,0.0036133891445711283,0.009139982796997164,0.031156058096723036,0.11140625547033338
nadh_c,0.0007147597163535953,0.0005381413587850998,2.159326915774798e-05,0.00018576606708857606,0.0006951821304652149,0.0011359779494006027,0.0017647666839879464
pep_c,0.015571218870039347,0.017358753877132004,0.0010389502376090634,0.0030931234345280743,0.00850261548811996,0.023593318915819953,0.07293072162410826
pi_c,0.002147290148978506,0.0032206299907105735,0.0001366399845067835,0.00028631657726384995,0.0007882244345198629,0.002515374709492252,0.01359003930080399
pyr_c,0.0008176122401517286,0.0010528870748677049,6.070746078128293e-05,0.00015375672821463566,0.00037569211390812496,0.0009706354864150142,0.004890967891828934
