,mean,std,min,25%,50%,75%,max
PGI,4.160978817040504e-06,1.064698207335262e-06,2.985011578817861e-06,3.3735582936113176e-06,3.899962974433022e-06,4.688766752276175e-06,8.055043247509025e-06
PFK1,5.4674518059822695e-06,1.0495666818743743e-05,5.1779251916611913e-08,3.5783468634236053e-07,1.4866142381720934e-06,5.598937972542085e-06,7.3745128686598e-05
PFK2,1.0416432552072575e-07,1.7753679174678037e-07,2.6754492864159524e-08,2.992949857179656e-08,4.545092544334229e-08,8.453803208815318e-08,1.271728100114457e-06
FBP1,6.56817239767018e-07,1.7081922352581553e-07,5.145953193956846e-07,5.399731234171577e-07,5.85232854535924e-07,6.949089008035641e-07,1.4629952476265266e-06
FBP2,0.026858444273573492,0.03247180151480604,0.0013948105291924462,0.006990664610588289,0.013601195308097454,0.030343604203430977,0.16308399928709189
FBA1,1.0624053900614939e-05,8.621429479539686e-06,4.027402030706507e-06,4.806516328871131e-06,6.945545551263751e-06,1.2089241373033449e-05,4.885417971742024e-05
FBA2,0.002110131601813774,0.0021196381889834735,0.0002703810053146263,0.0006162824063996805,0.0013178910480315601,0.0026993769562118674,0.012599145320683666
TPI,6.182710958128407e-07,2.523656250568067e-07,2.0040282635687034e-07,4.3047880298197204e-07,5.697365338375283e-07,8.34259423717846e-07,1.0804585697654743e-06
GAPD,2.057051117921988e-05,2.974738101386575e-05,5.187825994109683e-06,7.213481170415425e-06,1.1133906747463741e-05,2.2862470012199407e-05,0.0002634023133220585
PGK,5.287171640717961e-05,4.922155006737009e-05,8.629499105801274e-06,1.7974176624272677e-05,3.4361307952211303e-05,7.277746104145305e-05,0.00026026265877047495
PGMi,4.649535011243131e-06,7.422888579857101e-07,4.018648046189558e-06,4.101565365611247e-06,4.305635396327208e-06,4.885005205613879e-06,6.7936590366051186e-06
PGMd,7.557634812031259e-07,1.6184917619723317e-07,6.182044508216511e-07,6.362838005202094e-07,6.807793712169852e-07,8.071055653094923e-07,1.2232697672481895e-06
ENO,8.517382988475452e-06,7.362414644930407e-08,8.454808272705345e-06,8.463032452284858e-06,8.48327320043235e-06,8.540738171418677e-06,8.73004858294085e-06
PYK1,0.004577909801076015,0.007420355209602956,8.507489445464772e-05,0.00040058431053067886,0.0013919655034420964,0.005927335611345655,0.03196207950861611
PYK2,8.432669147340876e-06,1.0617181556805235e-05,8.888886595101892e-07,1.640774451979366e-06,3.7217386356246783e-06,9.897322003750163e-06,4.611933159877628e-05
PPS,0.00399045468271286,0.004448475639990545,0.00020751873958864728,0.0007364545004615575,0.002052469541768789,0.006259946909343055,0.020001767297862974
LDH_D,5.866171904932978e-05,8.166491224796838e-05,2.722117284680062e-06,1.3748539744381425e-05,2.947882992720657e-05,7.162849276226345e-05,0.0005100024947870125
