,mean,std,min,25%,50%,75%,max
PGI,1.529792229873388e-05,2.8244915230313594e-06,1.2368015362932544e-05,1.2988039884396887e-05,1.4382405751996772e-05,1.652096347686521e-05,2.3385451149852943e-05
PFK1,0.03483680742446136,0.061289814804863646,0.0002483381433628203,0.005111511305267212,0.013744823501050588,0.028076290606588623,0.4051141106681736
PFK2,0.00037624124187909014,0.0009901653699293386,5.375567888805263e-06,4.740548125329368e-05,0.000123339789854026,0.00029694809368670694,0.008481218453881306
FBP1,1.3217299831763368e-06,2.307418351635454e-07,1.1173955225357972e-06,1.1662646239736697e-06,1.234003442336845e-06,1.368980537275048e-06,2.041364578666082e-06
FBP2,0.0013212653680548486,0.0011374317343488549,8.390060105422482e-05,0.0004933087389442775,0.0009031930283526363,0.0018433555022207564,0.004638719909549711
FBA1,0.0011002562917383925,0.0003680286485791431,0.000750054619442707,0.0008295794320130537,0.0009810632845727535,0.0012411663778903385,0.0025735420043925656
FBA2,0.03606963692808742,0.04045242310581811,0.0006709650191500912,0.0074791731774640335,0.023661826253359265,0.04821282001480289,0.2074352044011739
TPI,2.4218580981761263e-05,3.5208990991870357e-06,2.0134345271589457e-05,2.106167762655393e-05,2.27206817573521e-05,2.6731968432313094e-05,3.211834565933409e-05
GAPD,0.057919082952472854,0.06858826976412985,0.0026644662704062043,0.017305320270264928,0.03676798765014464,0.06495831662651357,0.39541808894939834
PGK,1.599316847950224e-05,1.545567986890282e-05,3.2015349933728694e-07,4.247720414097037e-06,1.0800233329718858e-05,2.3752263209146853e-05,5.3264171570039436e-05
PGMi,2.8550056029286763e-05,5.8383216633203e-06,1.8733645748479118e-05,2.3766444436854583e-05,2.8295575436780897e-05,3.2804527548436894e-05,4.342215994157845e-05
PGMd,1.7941844054009388e-06,3.0981781022241317e-07,1.2743413187109524e-06,1.537133266765078e-06,1.7823199640362353e-06,2.009809012379201e-06,2.6283597593132996e-06
ENO,1.3677458567770209e-05,7.35208256559548e-06,3.207977676332526e-06,7.707702448784113e-06,1.1661904572770293e-05,1.9352691406129202e-05,3.059750964446925e-05
PYK1,0.0004605933177628711,0.0005372243141152257,2.257296439047366e-05,9.597749191428496e-05,0.00023346048306960166,0.000598155390148442,0.002437771415813063
PYK2,0.00012691906390410715,7.635020729589727e-05,1.0533670066278124e-05,6.91851696519658e-05,0.00011354823087244138,0.00017948337144117348,0.0003067413615526033
PPS,0.00038872770791544047,0.00036554978034021514,1.5532236318573783e-05,8.060283076382546e-05,0.00029521696515994876,0.0005631348574935508,0.0013639785025657148
LDH_D,8.435085982103248e-08,1.216299816926054e-07,1.560973299567722e-08,2.373323233995558e-08,4.639628193556539e-08,7.283414097626493e-08,7.600686592235473e-07
