,mean,std,min,25%,50%,75%,max
_13dpg_c,6.841533222921693e-05,8.153102188615981e-05,2.858032085180705e-06,1.5203289389006732e-05,3.423317289241178e-05,9.174061130492183e-05,0.0004078684541753291
_2pg_c,0.0008858070347776562,0.000999250578351072,5.3148624347879285e-05,0.00017530514342782474,0.00048663292049783483,0.0013452446063884507,0.0039022077504655872
_3pg_c,0.0026117613589707106,0.0029497344933764823,0.0001540300520252955,0.0005201492947022188,0.0014371048022544018,0.003974869660043422,0.011495885885319081
adp_c,0.0005991828290974478,0.0007340310265946505,3.705417100340712e-05,9.675323038342082e-05,0.0003200388682395611,0.000808718096611349,0.0030237273268766446
amp_c,0.004232915878776313,0.004554460229463492,0.0001812540325907321,0.0007227052546123006,0.0021419272284725335,0.006149172240839303,0.016158445617338865
atp_c,0.03945099949412782,0.0447291371582176,0.002616545670987059,0.007231762583534837,0.021965995011697395,0.05469750479277216,0.21603783383036712
dhap_c,0.0017806502555328175,0.0012723035046336346,0.0002192871141063502,0.0008219948799244575,0.001406308317747236,0.0024112040224765013,0.005714210595020553
f6p_c,0.0022377883387967247,0.0024535330625649362,0.00013327655643783422,0.000508347144027717,0.0012364484809054776,0.003207702089599311,0.011056460044528973
fdp_c,0.0001527706264260215,0.00019928698082707528,1.137471019126935e-05,4.191790189616015e-05,8.115332640302665e-05,0.00017558195855675205,0.0011673405556252032
g3p_c,0.000828728432224501,0.0006267833992320647,0.0001105472127846252,0.00037423982329066,0.0006456925416188793,0.0011526383978639634,0.0026236428786515277
g6p_c,0.002944004831339689,0.003774684821068911,0.00023112269892565206,0.000505772999471053,0.0013158526668314305,0.004141056104924922,0.018827777872669975
gdp_c,0.0020042388475249836,0.0019093575019932408,8.479054112872388e-05,0.0003938322906720523,0.0014698907645663319,0.0031866068085106255,0.006346745091807637
h2o_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
h_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
lac__D_c,0.0030668831258684353,0.0036014172524956893,0.00016611976433889524,0.0003671341950510556,0.0012040202815654607,0.005312272272874238,0.013465203382820933
nad_c,0.020801693752101846,0.0245760592452105,0.00144518504063231,0.0037111435676482484,0.009268157609758756,0.031849102953167945,0.11318096857175877
nadh_c,0.0006738116982324195,0.0005026376211141484,2.118368432044e-05,0.00017753482904546783,0.0006590932812035454,0.0010536472985256452,0.001664412808547939
pep_c,0.01455870103104094,0.016227250920350367,0.0009630025392975662,0.0029690778505871967,0.007959588583241325,0.021902565654632302,0.06795404209747133
pi_c,0.0022152961436153586,0.003322470668161598,0.00013858269165354772,0.0002918078961398591,0.0008126623373802077,0.0025972502117917757,0.014051843454741917
pyr_c,0.0008717742305467361,0.0011283117300086585,6.35276275481851e-05,0.00015999965638057237,0.00039879558183963004,0.001038625659364059,0.005243633905486054
