,mean,std,min,25%,50%,75%,max
PGI,1.5297922298734458e-05,2.8244915230308355e-06,1.2368015362932727e-05,1.2988039884397356e-05,1.4382405751996796e-05,1.652096347686508e-05,2.338545114985303e-05
PFK1,0.0689768787005976,0.12135383331368459,0.0004917095238583864,0.010120792384429075,0.027214750532080154,0.05559105540104521,0.8021259391229854
PFK2,7.524824837581366e-06,1.9803307398587142e-05,1.0751135777622066e-07,9.481096250660111e-07,2.466795797079416e-06,5.938961873733456e-06,0.00016962436907762605
FBP1,2.6170253666899634e-06,4.568688336244439e-07,2.212443134628917e-06,2.3092039554674465e-06,2.443326815826147e-06,2.710581463806479e-06,4.041901865786952e-06
FBP2,2.642530736109704e-05,2.274863468697688e-05,1.678012021084498e-06,9.866174778885673e-06,1.806386056705183e-05,3.6867110044415025e-05,9.277439819099254e-05
FBA1,0.0021785074576420194,0.0007286967241867141,0.0014851081464965664,0.0016425672753858389,0.001942505303454051,0.0024575094282228726,0.005095613168697315
FBA2,0.0007213927384922489,0.0008090484621012782,1.341930033283973e-05,0.0001495834634862952,0.000473236525002368,0.000964256400226991,0.004148704087899415
TPI,2.421858098177396e-05,3.5208990994134942e-06,2.01343452715914e-05,2.1061677626569372e-05,2.272068175735293e-05,2.673196843240374e-05,3.211834565940723e-05
GAPD,0.05791908295247252,0.0685882697641292,0.002664466270406249,0.017305320270265264,0.03676798765014368,0.06495831662651322,0.3954180889493932
PGK,1.599316845800409e-05,1.5455680033009776e-05,3.2015260166325764e-07,4.247719734739154e-06,1.0800233204609767e-05,2.3752262999732817e-05,5.32641725078558e-05
PGMi,5.652911093798784e-05,1.1559876893374196e-05,3.709261858198844e-05,4.705755998497245e-05,5.602523936482591e-05,6.495296454590492e-05,8.597587668432522e-05
PGMd,3.588368810801906e-08,6.196356204448982e-09,2.5486826374218408e-08,3.0742665335306835e-08,3.5646399280724975e-08,4.019618024758495e-08,5.256719518626636e-08
ENO,1.3677458567770212e-05,7.352082565595464e-06,3.207977676332537e-06,7.707702448784088e-06,1.1661904572770037e-05,1.935269140612924e-05,3.0597509644469386e-05
PYK1,0.0009119747691705788,0.0010637041419482086,4.4694469493137546e-05,0.00019003543399028858,0.0004622517564777934,0.0011843476724939233,0.004826787403309826
PYK2,2.538381232156483e-06,1.5270041458859965e-06,2.1067335556145866e-07,1.3837033471734344e-06,2.27096457166099e-06,3.5896673828185893e-06,6.13482718523184e-06
PPS,0.00038872770791544177,0.0003655497803402166,1.5532236318573766e-05,8.060283076382565e-05,0.0002952169651599491,0.0005631348574935532,0.0013639785025657295
LDH_D,8.435085982103464e-08,1.216299816926038e-07,1.5609732995754505e-08,2.3733232339895915e-08,4.639628193556471e-08,7.283414097626506e-08,7.600686592235504e-07
