,mean,std,min,25%,50%,75%,max
_13dpg_c,0.00015917876330500866,0.00017677668823311038,1.239020955219764e-05,4.331538807465679e-05,0.00010004420269163647,0.00017859055669229302,0.0007893334016783353
_2pg_c,0.0011029589540402247,0.0012726755047022932,0.00011415960601987903,0.0003403714204412055,0.0006269876715112096,0.0012837666088575603,0.006602093720242951
_3pg_c,0.010424935376683618,0.010720724325497267,0.0011111242802189726,0.0033553723488649505,0.006631768676911151,0.013594273861845071,0.05429309070986895
adp_c,0.004004095950348625,0.002824564524513504,0.0004314799106977075,0.0016078259994083553,0.0033866100959469418,0.005736631334562368,0.010856218716879328
amp_c,0.008030304035931787,0.007642192547455653,0.0003218927435305864,0.0017079908646665336,0.006344703421526742,0.011124922507837184,0.02695306450196213
atp_c,0.015655084267848788,0.020713097626767964,0.0019000599883570756,0.004263783304370561,0.008550016299717524,0.01973029954534665,0.14975860033046828
dhap_c,0.008268457288978416,0.0074860982427453465,0.0007951766515761662,0.0029397736381094304,0.0057252204542837856,0.010860361494050874,0.03792296138105843
f6p_c,0.003224467811674718,0.002307144364008838,0.0002841046716724412,0.0010806402579617957,0.002711828805205901,0.004819921127919824,0.00911453138135415
fdp_c,0.03995411219596043,0.030870695184309183,0.001682191133695645,0.014967022702053625,0.03307158155205121,0.05668598483953467,0.12493388771387155
g3p_c,8.263558599333755e-05,6.034937462361667e-05,2.21790535376822e-05,4.096006636644508e-05,6.548905690765736e-05,0.00010536907981806469,0.00031295232854521666
g6p_c,0.0031477758320155504,0.0038819886753478274,0.0003654536165118031,0.0006893300050087724,0.0015091777421939283,0.003940515905854505,0.019591496852648903
gdp_c,0.0014477434141228999,0.001843191851761355,0.00012808409812261907,0.0004131443363310706,0.0006862914061105936,0.0016665273718666062,0.008619270953313165
h2o_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
h_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
lac__D_c,0.009747879634178483,0.008407461682721846,0.0006338507688599675,0.003471846504814716,0.007576978033330663,0.014197624852910236,0.049150822206960584
nad_c,0.11838283680394335,0.08735543534675318,0.0035997396408691358,0.03802261928262984,0.09834238842892107,0.19217989449060635,0.3314633106937904
nadh_c,3.486428003976328e-05,3.936861356996398e-05,1.9365542699302804e-06,6.382094057474728e-06,2.0545950340547316e-05,4.523717190660153e-05,0.0001764096592850324
pep_c,0.0009112358343315636,0.0013076842488328815,0.00017735870490188135,0.00029154610748450004,0.0004662924184071647,0.0007699131601543593,0.0081030091204893
pi_c,0.0016432539176228066,0.0018065935226305213,7.819567427280058e-05,0.0004256629764482987,0.0009296679069273278,0.0019743803331505197,0.006974131523324305
pyr_c,0.0013239810093848387,0.0019539032258644113,0.00016783170718239157,0.00031831890843184727,0.0005250478433429557,0.0015694634639345762,0.012061234635800307
