,mean,std,min,25%,50%,75%,max
_13dpg_c,0.00015547005775749738,0.00017058766059513294,1.152503175586046e-05,4.02126526340197e-05,9.676715263530003e-05,0.00018445296705244858,0.0007530406825721859
_2pg_c,0.0012197186639542892,0.0013905664054298273,0.0001213668320097182,0.00037089556992119974,0.0006887319289035111,0.0014741420509117005,0.007006906976028285
_3pg_c,0.01232785351103599,0.012365591431066851,0.0012686635066312061,0.004035941718468994,0.007665885065881903,0.016325725090974748,0.05995059657465364
adp_c,0.004605443563349649,0.0032460668205862124,0.000483733385901858,0.0018024912393610343,0.003895457233373598,0.006572856121875506,0.012441063961002493
amp_c,0.008009899902932606,0.007628499410291963,0.0003218242206128575,0.001706897161376511,0.006293922471895841,0.01112332327382817,0.026891832048028034
atp_c,0.014845654963085757,0.019650139991817646,0.0018035465660203608,0.004044693772996369,0.008078035766714578,0.01874628402314383,0.1422973368864739
dhap_c,0.014414256284937471,0.011209685504412805,0.0013633492665511102,0.005791411127975326,0.010802901999267492,0.02075620058014198,0.04970059238132288
f6p_c,0.003091240418839154,0.0022110174823234754,0.0002553157362016321,0.0010686252266508957,0.0026384717112679355,0.0044617829341550026,0.008818796591481598
fdp_c,0.03254119828392422,0.025334004915463948,0.001214514290115758,0.012624560184127543,0.026217317042426747,0.04801684028093505,0.10651313239990962
g3p_c,8.9114947998799e-05,6.610487093901991e-05,2.1498451508152457e-05,4.212668820248645e-05,7.03635542896792e-05,0.00010459733611551093,0.0003535868002653918
g6p_c,0.003105673720804584,0.0038056718190174663,0.00036252823538208517,0.0006876042084540741,0.0014918331845102336,0.00386457709280189,0.01894778264196765
gdp_c,0.0014477434141228999,0.001843191851761355,0.00012808409812261907,0.0004131443363310706,0.0006862914061105936,0.0016665273718666062,0.008619270953313165
h2o_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
h_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
lac__D_c,0.009314839217029193,0.007877507003248399,0.0006154683455825168,0.0033043147419277714,0.00726699776578305,0.013744704280438138,0.04408685986252493
nad_c,0.11414857324019412,0.0841557877600473,0.0035539985533678668,0.03632804446715823,0.09646314572242695,0.1828098363437496,0.3256568082601944
nadh_c,3.534783697618628e-05,3.9964678652343394e-05,1.960549658864801e-06,6.608102204951611e-06,2.069686649332347e-05,4.5578153410260017e-05,0.00017732193878252256
pep_c,0.0009750216163669276,0.0013866057025571806,0.00019261758916484865,0.00031616481392669044,0.0005000097682527105,0.0008233939105451876,0.008539323630193177
pi_c,0.0015700470884456301,0.0017384481519143792,7.526402457832851e-05,0.00039768228378274926,0.0008921707106657561,0.001884285038395917,0.006641674043448399
pyr_c,0.0010744392359748585,0.0015878501606791217,0.0001360941194707629,0.00025726309916524327,0.00042512787125303643,0.001250915162189805,0.009630077360288288
