,mean,std,min,25%,50%,75%,max
_13dpg_c,7.563277483435851e-05,8.724479017128154e-05,3.503166298687424e-06,1.7432473832110902e-05,3.824859625875426e-05,9.986292739390124e-05,0.00044943178109328323
_2pg_c,0.000984670195797636,0.0011132104650344984,6.210347075538786e-05,0.00018913187749079754,0.000526506918533242,0.001439634344693933,0.004346131380315657
_3pg_c,0.00283629755629034,0.003201283505665577,0.0001839025820876976,0.0005445832106463735,0.001519419413206444,0.004136143165757727,0.012389942706378098
adp_c,0.000641558574098927,0.000796568999722091,4.0589098831211424e-05,0.00010121719534469026,0.0003372967187431733,0.0008233147958003383,0.0030900190467641453
amp_c,0.004194001716525861,0.004516569112128625,0.00017807833881851277,0.0007164739536873919,0.0021251261057594496,0.006082763636634207,0.015997242525560052
atp_c,0.03967037637397139,0.04525543245299599,0.002685612286838867,0.007336487569918213,0.021780464347680425,0.05625470746518957,0.21666115041128106
dhap_c,0.00494411084819709,0.00416054713597623,0.0004070257526965421,0.0018029508241704656,0.0035903663170405355,0.006795669525547179,0.018663079564252182
f6p_c,0.0018464742408761026,0.0020336143782754687,0.00011406717330116479,0.0004278065756384348,0.0010317942375796217,0.0025689407061586407,0.00879743045714016
fdp_c,0.00037616149367934097,0.00041525267726016257,2.7843492758710504e-05,8.844624084977942e-05,0.0002185748230085266,0.0005023633806012096,0.0019897608396615652
g3p_c,0.0021213269787429103,0.001817625420708598,0.00019641908706470013,0.0007949358138243049,0.0015165990452559884,0.0032260631977736286,0.008087616980286228
g6p_c,0.0027958275508486396,0.0035565432870343413,0.00021891518037337406,0.0004811096729900735,0.0012519708986355313,0.003999013049892098,0.01737706695327578
gdp_c,0.0020042388475249836,0.0019093575019932408,8.479054112872388e-05,0.0003938322906720523,0.0014698907645663319,0.0031866068085106255,0.006346745091807637
h2o_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
h_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
lac__D_c,0.003076368494459869,0.0036156201399881855,0.00016626499935271818,0.0003693583392657923,0.001199074866188539,0.005313845266608256,0.013469723895476736
nad_c,0.020392087791884908,0.02414978591521336,0.001383854640430549,0.003583588681788101,0.009076159588826033,0.030942726642574678,0.11046949950582535
nadh_c,0.0007305606859609497,0.0005515521093775233,2.1795926881841655e-05,0.000188195429236209,0.0007062414275751229,0.0011641589121187336,0.00180720225184982
pep_c,0.01591947643024706,0.017780493301188142,0.0010567686185257155,0.003145497071947967,0.008644834732040804,0.024182341679683396,0.07526011965727365
pi_c,0.0021259636724325383,0.00318656670375146,0.00013602088030324739,0.00028465400452205863,0.0007812020331027648,0.002487341155316721,0.013451115246309996
pyr_c,0.0007998081625799839,0.0010261624298880513,5.97946538822004e-05,0.0001516602876796104,0.0003690362832474882,0.0009476446671079291,0.004736197004306066
