,mean,std,min,25%,50%,75%,max
PGI,1.5297922298734255e-05,2.8244915230304746e-06,1.2368015362932759e-05,1.298803988439609e-05,1.4382405751996759e-05,1.652096347686525e-05,2.3385451149852943e-05
PFK1,0.0006967361483285478,0.0012257962961138816,4.966762575389887e-06,0.00010223022580221832,0.0002748964700210111,0.0005615258121317709,0.00810228221305702
PFK2,0.0007449576590088104,0.001960527432689014,1.0643624419834418e-05,9.386285288152108e-05,0.00024421278391097135,0.0005879572254996828,0.01679281254006249
FBP1,2.643459966353565e-08,4.614836703278471e-09,2.2347910450708743e-08,2.3325292479469835e-08,2.468006884671787e-08,2.7379610745499e-08,4.082729157332454e-08
FBP2,0.002616105428748601,0.0022521148340107276,0.00016612319008736545,0.000976751303109785,0.0017883221961382232,0.0036498438943970975,0.009184665420908414
FBA1,2.200512583476137e-05,7.360572971589156e-06,1.500109238886167e-05,1.6591588640261284e-05,1.962126569145504e-05,2.4823327557806572e-05,5.14708400878514e-05
FBA2,0.07141788111761305,0.08009579774951975,0.001328510737917052,0.014808762891378786,0.04685041598165132,0.09546138362930957,0.4107217047143233
TPI,2.421858098180552e-05,3.52089909930549e-06,2.013434527160282e-05,2.1061677626557727e-05,2.272068175734617e-05,2.673196843229624e-05,3.2118345659355e-05
GAPD,0.05791908295247266,0.06858826976412968,0.0026644662704062186,0.01730532027026492,0.03676798765014415,0.06495831662651314,0.3954180889493966
PGK,1.599316846422531e-05,1.5455679992294074e-05,3.2015160741150303e-07,4.24771976057632e-06,1.080023349977663e-05,2.3752264930569404e-05,5.326417283906183e-05
PGMi,5.710011205857355e-07,1.1676643326640613e-07,3.746729149695823e-07,4.7532888873708897e-07,5.659115087356174e-07,6.560905509687374e-07,8.684431988315687e-07
PGMd,3.5524851226938685e-06,6.134392642403728e-07,2.5231958110476274e-06,3.0435238681952787e-06,3.5289935287917283e-06,3.9794218445107045e-06,5.2041523234403445e-06
ENO,1.3677458567770222e-05,7.352082565595478e-06,3.2079776763325243e-06,7.707702448784091e-06,1.1661904572770223e-05,1.9352691406129375e-05,3.0597509644469136e-05
PYK1,9.211866355258465e-06,1.0744486282304896e-05,4.514592878094643e-07,1.9195498382856675e-06,4.669209661391964e-06,1.196310780296878e-05,4.875542831626195e-05
PYK2,0.00025129974653013217,0.00015117341044587642,2.0856666731230587e-05,0.00013698663591089262,0.0002248254971274327,0.0003553770754535224,0.0006073478958741495
PPS,0.00038872770791544177,0.0003655497803402176,1.553223631857378e-05,8.060283076382553e-05,0.0002952169651599476,0.000563134857493551,0.0013639785025657447
LDH_D,8.435085982103008e-08,1.2162998169260642e-07,1.5609732995657573e-08,2.3733232339917266e-08,4.639628193556416e-08,7.283414097626493e-08,7.600686592235464e-07
