,mean,std,min,25%,50%,75%,max
PGI,1.529792229873524e-05,2.824491523029861e-06,1.236801536293292e-05,1.2988039884397182e-05,1.4382405751996796e-05,1.6520963476865253e-05,2.338545114985301e-05
PFK1,0.05225521113676605,0.091934722207329,0.0003725072150442288,0.007667266957900808,0.020617235251575834,0.04211443590988291,0.607671166002263
PFK2,0.00018812062093954464,0.0004950826849646666,2.687783944402703e-06,2.3702740626647682e-05,6.166989492701228e-05,0.00014847404684335474,0.004240609226940618
FBP1,1.982594974764447e-06,3.46112752745421e-07,1.6760932838038108e-06,1.7493969359602547e-06,1.8510051635050734e-06,2.0534708059124626e-06,3.0620468679996136e-06
FBP2,0.0006606326840274242,0.0005687158671744268,4.195030052711249e-05,0.0002466543694721398,0.00045159651417631976,0.0009216777511103801,0.002319359954774856
FBA1,0.0016503844376075812,0.0005520429728686975,0.0011250819291640669,0.0012443691480195824,0.0014715949268591213,0.0018617495668355067,0.003860313006588849
FBA2,0.018034818464043697,0.020226211552909025,0.0003354825095750442,0.0037395865887320185,0.011830913126679637,0.024106410007401477,0.10371760220058703
TPI,2.421858098189784e-05,3.5208990992630095e-06,2.013434527164473e-05,2.1061677626569898e-05,2.272068175735245e-05,2.6731968432244003e-05,3.211834565948139e-05
GAPD,0.057919082952472764,0.06858826976412993,0.0026644662704061552,0.017305320270265274,0.03676798765014422,0.06495831662651355,0.3954180889493999
PGK,1.5993168341907716e-05,1.5455679923033603e-05,3.2015256765648623e-07,4.2477198149974e-06,1.080023328360525e-05,2.375226328203938e-05,5.3264171504970995e-05
PGMi,4.28250840439302e-05,8.75748249498046e-06,2.8100468622718645e-05,3.5649666655282075e-05,4.244336315517117e-05,4.9206791322655436e-05,6.513323991236759e-05
PGMd,8.97092202700464e-07,1.5490890511120884e-07,6.371706593554908e-07,7.685666333826617e-07,8.911599820181166e-07,1.0049045061895862e-06,1.3141798796566483e-06
ENO,1.3677458567770209e-05,7.352082565595483e-06,3.2079776763325226e-06,7.707702448784113e-06,1.1661904572770215e-05,1.935269140612916e-05,3.059750964446924e-05
PYK1,0.000690889976644383,0.0008058364711728672,3.3859446585709184e-05,0.00014396623787143198,0.00035019072460440166,0.0008972330852227813,0.003656657123719627
PYK2,6.345953195205354e-05,3.817510364794854e-05,5.266835033139068e-06,3.459258482598281e-05,5.677411543622076e-05,8.974168572058686e-05,0.00015337068077630006
PPS,0.0003887277079154402,0.0003655497803402149,1.5532236318573752e-05,8.060283076382572e-05,0.00029521696515994844,0.0005631348574935497,0.001363978502565726
LDH_D,8.435085982100892e-08,1.2162998169261746e-07,1.5609732995671747e-08,2.373323233998298e-08,4.6396281935565116e-08,7.283414097626497e-08,7.600686592235475e-07
