,mean,std,min,25%,50%,75%,max
_13dpg_c,0.00016246790934961724,0.00018098933746056085,1.2570237324446209e-05,4.4435868742762045e-05,0.00010152432181367391,0.00018028451382958677,0.0008056859380421886
_2pg_c,0.0010544667649922462,0.0012207162362578457,0.00011084270199524565,0.0003269895953413994,0.0005994796573851758,0.0012360080329399024,0.00639653387448843
_3pg_c,0.009679997073283124,0.010041825075133026,0.0010485827162080104,0.003116042879598952,0.006245533166743297,0.012795832412999097,0.05158415694155633
adp_c,0.003734029588370217,0.002634346999365579,0.0004116029210666875,0.0015076911568448026,0.0031511330573203997,0.005336011588242895,0.010131265782538446
amp_c,0.008037832563241271,0.007646981405052314,0.0003219163914477241,0.0017083809152906074,0.006358600164777345,0.011125488901629711,0.02697417542473667
atp_c,0.01602133074559456,0.021207473578605238,0.0019411560864279222,0.004362381982324385,0.008763730696955048,0.02013494188339493,0.15332519642072914
dhap_c,0.007115171728863347,0.006507217670592224,0.0006504654550457096,0.0025225860494037717,0.00488678692167277,0.009427350377138174,0.03329236929609417
f6p_c,0.0032691084874004782,0.002340604938588666,0.00028742089808424167,0.001087465456581545,0.0027442602906409463,0.0048880222628402345,0.00929631909388511
fdp_c,0.04354959703868731,0.033652619923536235,0.0018715203330688058,0.015937103696839885,0.03573578842801689,0.06108473834043748,0.13780545448733791
g3p_c,8.087763780610175e-05,5.856296858367747e-05,2.0846961186183553e-05,4.005705369143148e-05,6.333139604321766e-05,0.00010199440536974011,0.00030082903093497763
g6p_c,0.003159259235957009,0.003901500835016733,0.0003664218092547623,0.0006901158852367495,0.0015156055869978945,0.003958640453901611,0.0197456216671735
gdp_c,0.0014477434141228999,0.001843191851761355,0.00012808409812261907,0.0004131443363310706,0.0006862914061105936,0.0016665273718666062,0.008619270953313165
h2o_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
h_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
lac__D_c,0.009942829128893521,0.008641267443644652,0.0006421398640831877,0.0035540240850508646,0.007686583349299508,0.01434089433127557,0.05128979437583723
nad_c,0.12000104489721199,0.08858887743767795,0.003622879566558934,0.038622702530458776,0.09917339175970766,0.19467546632798904,0.3374732541737992
nadh_c,3.467410236824485e-05,3.914283870790806e-05,1.925348196742793e-06,6.3418517683125346e-06,2.0473835345795247e-05,4.505275956972199e-05,0.00017589573148825272
pep_c,0.0008814040498544571,0.001268519049043094,0.00017068918684963775,0.00028092806602006306,0.00045079099598815817,0.0007444077584561698,0.007883177401345722
pi_c,0.0016748754244733052,0.0018362073006427458,7.962330835349192e-05,0.00043593466901723865,0.0009509163570016529,0.0020204984184585377,0.007114850914896172
pyr_c,0.001440937186553741,0.002122895502892279,0.0001832985796592407,0.0003478844952917975,0.0005745227450505072,0.0017251291825627854,0.013181264515859291
