,mean,std,min,25%,50%,75%,max
PGI,4.160978817040506e-06,1.0646982073352528e-06,2.985011578817874e-06,3.373558293611354e-06,3.899962974433029e-06,4.688766752275723e-06,8.055043247509037e-06
PFK1,1.0934904110684215e-05,2.0991333716074485e-05,1.0355850383246024e-07,7.156693726847261e-07,2.973229282696498e-06,1.1197877119779023e-05,0.0001474902587831817
PFK2,6.944283888004789e-08,1.1835788025809264e-07,1.78353388364911e-08,1.9952786483974583e-08,3.0300616962228877e-08,5.635868805884075e-08,8.478187334096447e-07
FBP1,1.3136344795340647e-06,3.4163844705161873e-07,1.0291906387913716e-06,1.0799462468343123e-06,1.1704657090719606e-06,1.3898178016070974e-06,2.9259904952530934e-06
FBP2,0.017905629515715678,0.02164786767653738,0.0009298736861282938,0.004660443073725526,0.009067463538731628,0.020229069468953944,0.10872266619139466
FBA1,2.124810780122967e-05,1.7242858959079274e-05,8.054804061410758e-06,9.6130326577423e-06,1.3891091102527486e-05,2.4178482746066765e-05,9.770835943484065e-05
FBA2,0.0014067544011878983,0.0014130921259226602,0.00018025400354308558,0.00041085493759978546,0.000878594032021041,0.0017995846374745778,0.008399430213111313
TPI,6.18271095820282e-07,2.5236562505826564e-07,2.0040282587443978e-07,4.3047880283332634e-07,5.697365338377398e-07,8.342594220533307e-07,1.0804585697697984e-06
GAPD,2.0570511179220875e-05,2.9747381013865923e-05,5.18782599411095e-06,7.213481170415323e-06,1.1133906747464065e-05,2.2862470012196154e-05,0.00026340231332205963
PGK,5.287171640835328e-05,4.9221550076403185e-05,8.629499170702075e-06,1.7974176653522256e-05,3.4361307855711726e-05,7.277746122862301e-05,0.0002602626582883727
PGMi,9.299070022486263e-06,1.4845777159714164e-06,8.03729609237914e-06,8.203130731222484e-06,8.611270792654416e-06,9.770010411227727e-06,1.358731807321012e-05
PGMd,5.038423208020838e-07,1.0789945079815578e-07,4.121363005477596e-07,4.2418920034680594e-07,4.538529141446473e-07,5.380703768729965e-07,8.15513178165449e-07
ENO,8.517382988475455e-06,7.362414644930267e-08,8.4548082727053e-06,8.463032452284834e-06,8.483273200432373e-06,8.540738171418655e-06,8.730048582940835e-06
PYK1,0.009155819602153432,0.014840710419206498,0.00017014978890929577,0.0008011686210613275,0.0027839310068841702,0.01185467122269171,0.06392415901723314
PYK2,5.6217794315604094e-06,7.078121037869076e-06,5.925924396746877e-07,1.0938496346556637e-06,2.4811590904167738e-06,6.598214669166774e-06,3.074622106584555e-05
PPS,0.003990454682712858,0.004448475639990545,0.00020751873958864652,0.0007364545004615581,0.0020524695417687873,0.006259946909343056,0.020001767297863002
LDH_D,5.8661719049329755e-05,8.16649122479683e-05,2.722117284680066e-06,1.3748539744381372e-05,2.947882992720658e-05,7.162849276226358e-05,0.0005100024947870119
