,mean,std,min,25%,50%,75%,max
_13dpg_c,7.057431550854935e-05,8.349581454074724e-05,3.0423336399231137e-06,1.566399302362723e-05,3.5016402265670486e-05,9.496803478757946e-05,0.00042379459981559424
_2pg_c,0.0009063087995506426,0.0010224446813877246,5.530513635714138e-05,0.00017768527834597297,0.0004944255944184882,0.001364744811435769,0.003984749095183566
_3pg_c,0.002653891717472127,0.0029959903819996797,0.00016110166570019424,0.0005255902944194432,0.0014495335706767648,0.004002109590901097,0.01166387891610013
adp_c,0.0006020675089415355,0.0007379212325531741,3.7720582010846165e-05,9.78760404875718e-05,0.00032203468824252147,0.0008055304589007502,0.0029930008297164483
amp_c,0.00422299144778813,0.00454497148863536,0.00018042739449881492,0.000720916928322347,0.002138085457661425,0.006139235361389042,0.0161004025509569
atp_c,0.03963954541965876,0.04500705898792615,0.0026494564983416393,0.007296876860713809,0.021991636443422693,0.05513784950800862,0.21619471671079843
dhap_c,0.0023151810126716,0.0018189878347628723,0.00025025434582502936,0.0009920521185777498,0.0017696671065080614,0.003019075419076312,0.008605343344470665
f6p_c,0.0021608701874750017,0.0023626747952769176,0.0001300343808985466,0.0004931277883461556,0.0011842123712286843,0.003049383989965723,0.010543995075811647
fdp_c,0.00019326080777973614,0.0002340540620270509,1.4123460896964339e-05,4.8960870836123656e-05,0.00010394487547900561,0.00023608258638635514,0.0013358784903479927
g3p_c,0.0010598231682088428,0.0008577028817596159,0.00012528695114591464,0.000439036519819446,0.0007918179785196648,0.0015320709878662284,0.0038850801127465577
g6p_c,0.0029172076301174667,0.003731398596948623,0.00022906860880250038,0.0005020680417558627,0.0013069661464598455,0.004121248443408952,0.018528013625605695
gdp_c,0.0020042388475249836,0.0019093575019932408,8.479054112872388e-05,0.0003938322906720523,0.0014698907645663319,0.0031866068085106255,0.006346745091807637
h2o_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
h_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
lac__D_c,0.0030670463115888475,0.003602754275874122,0.00016639974498594353,0.0003675319226193153,0.0012005832669001026,0.005308192634480878,0.013460631577548747
nad_c,0.020731478648088462,0.024508889088699318,0.0014362262349011641,0.00368079148310282,0.009236236331289716,0.031660614697888556,0.11279383145984864
nadh_c,0.0006849692012273398,0.0005123717398232171,2.129041962049502e-05,0.00017958771879972744,0.0006689250743928123,0.001077195202510426,0.0016910251827078982
pep_c,0.014895463625112753,0.01658823438961009,0.0009927773202108561,0.0030092790194563425,0.008166080404698337,0.02245636407906504,0.0693513794656171
pi_c,0.00219261065354261,0.003290099110231305,0.00013795326448316718,0.00028993322361810296,0.0008041314015239341,0.0025698235246839132,0.013911933121382242
pyr_c,0.0008534698616279036,0.0011037504896887736,6.260268318999002e-05,0.00015789083354113953,0.0003902387722337867,0.0010165066978561899,0.005143390980690438
