,mean,std,min,25%,50%,75%,max
PGI,4.160978817040615e-06,1.0646982073352297e-06,2.9850115788178693e-06,3.37355829361135e-06,3.899962974433024e-06,4.6887667522757215e-06,8.055043247509067e-06
PFK1,2.1651110597317972e-05,4.156284082532783e-05,2.0504583758836622e-07,1.4170253579157431e-06,5.886994760244049e-06,2.2171796697162576e-05,0.0002920307123907002
PFK2,1.3884773846042977e-09,2.3671656845683295e-09,3.563839222722158e-10,3.9885232041885667e-10,6.057851718530507e-10,1.127150633526437e-09,1.6956005328236707e-08
FBP1,2.6009962694773133e-06,6.764441251619605e-07,2.037797464806953e-06,2.138293568731839e-06,2.317522103962417e-06,2.7518392471821504e-06,5.7934611805990385e-06
FBP2,0.0003581125903143133,0.000432957353530747,1.859747372256586e-05,9.320886147451033e-05,0.00018134927077463278,0.00040458138937907954,0.002174453323827893
FBA1,4.207125344643528e-05,3.414086073897738e-05,1.594851204159806e-05,1.9033804662329686e-05,2.7504360383004386e-05,4.787339583721207e-05,0.00019346255168098463
FBA2,2.8135087867022686e-05,2.826184262249984e-05,3.605079837850886e-06,8.21709857161177e-06,1.7571880179333455e-05,3.599169274949179e-05,0.00016798860426222526
TPI,6.18271095803643e-07,2.523656250529702e-07,2.004028263574515e-07,4.304788028648306e-07,5.697365338363799e-07,8.342594220456178e-07,1.0804585697696868e-06
GAPD,2.057051117922299e-05,2.974738101386617e-05,5.187825994109105e-06,7.213481170415877e-06,1.1133906747463103e-05,2.2862470012197235e-05,0.00026340231332205725
PGK,5.2871716386417475e-05,4.922155005553908e-05,8.62949917940707e-06,1.7974176713018707e-05,3.436130776165032e-05,7.277746107715482e-05,0.0002602626584320973
PGMi,1.8412158644522807e-05,2.939463877623411e-06,1.591384626291068e-05,1.624219884782058e-05,1.705031616945577e-05,1.9344620614230928e-05,2.6902889784956064e-05
PGMd,1.007684641604164e-08,2.157989015963124e-09,8.242726010955281e-09,8.48378400693611e-09,9.077058282893124e-09,1.0761407537459958e-08,1.6310263563308935e-08
ENO,8.517382988475449e-06,7.362414644930323e-08,8.454808272705287e-06,8.463032452284842e-06,8.483273200432332e-06,8.540738171418696e-06,8.730048582940892e-06
PYK1,0.018128522812265138,0.029384606630028266,0.0003368965820404162,0.001586313869701508,0.00551218339363062,0.023472249020928777,0.12656983485412085
PYK2,1.1243558863111484e-07,1.4156242075758317e-07,1.1851848793466422e-08,2.187699269288919e-08,4.9623181808393874e-08,1.3196429338285824e-07,6.149244213171533e-07
PPS,0.003990454682712859,0.004448475639990546,0.00020751873958864655,0.0007364545004615554,0.0020524695417687817,0.006259946909343046,0.020001767297863005
LDH_D,5.86617190493298e-05,8.16649122479685e-05,2.722117284680056e-06,1.3748539744381443e-05,2.9478829927206485e-05,7.162849276226346e-05,0.0005100024947870148
