,mean,std,min,25%,50%,75%,max
_13dpg_c,7.284455557629665e-05,8.544724101308682e-05,3.2425824496520386e-06,1.6485681128081802e-05,3.7276694394873335e-05,9.699559304774457e-05,0.00043906877263957534
_2pg_c,0.0009304283746746597,0.0010500556202422953,5.771863005542243e-05,0.00018166954005081898,0.0005038782926445587,0.0013860227877723395,0.004087763602726361
_3pg_c,0.002707856218131145,0.0030560418571712214,0.00016918202053041575,0.0005325725689692559,0.0014679160453988246,0.0040386277471754235,0.011874272200004901
adp_c,0.0006091168897420216,0.0007481402777359825,3.853094086937222e-05,9.938093286900474e-05,0.0003250524567183907,0.0008005030963593803,0.0029853358089869777
amp_c,0.004213140733019165,0.004535375726191663,0.00017963479666159322,0.0007192873425380477,0.0021340959917636676,0.006121526193777273,0.016038775561553476
atp_c,0.03976317869643207,0.04522091083392163,0.0026765235605271404,0.007349523342811043,0.02194975608996591,0.05559166338016376,0.2165402852004898
dhap_c,0.003085088030277337,0.002590240076929577,0.000291798643299726,0.001203588875894438,0.002259400251780437,0.0039964664217740625,0.012409073539751507
f6p_c,0.0020621959161183107,0.0022535804766966694,0.00012531704400527144,0.000472172234014929,0.0011542724449629962,0.0028405311570923186,0.009934336313367174
fdp_c,0.000258477002752773,0.0002934231711232375,1.831193718247579e-05,6.170462408146564e-05,0.00014398847851496762,0.00035113314814306097,0.0014562058073269107
g3p_c,0.001382650771523247,0.00117792411349164,0.0001446825777775133,0.0005490880688807576,0.000992042288680264,0.0020335721011757787,0.005504467893713315
g6p_c,0.0028813583268825333,0.0036768033796789838,0.0002259735019301079,0.0004960818727299391,0.001292825753795792,0.004091011879924643,0.018150487648505985
gdp_c,0.0020042388475249836,0.0019093575019932408,8.479054112872388e-05,0.0003938322906720523,0.0014698907645663319,0.0031866068085106255,0.006346745091807637
h2o_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
h_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
lac__D_c,0.0030693952156650457,0.003606453531094353,0.00016616208740569761,0.0003680628923444507,0.0011990758625962847,0.005307471234432192,0.013459955572097067
nad_c,0.020633988928061703,0.02441001630823526,0.0014189006309521953,0.0036467111333090413,0.00919323448590444,0.031400490712114676,0.11219777703012491
nadh_c,0.000699086802397022,0.0005246579716094399,2.1426291017373697e-05,0.00018237338796491204,0.0006811786314274396,0.001104628605100068,0.0017264084426833791
pep_c,0.015233779871414697,0.016965432010433847,0.0010182634022373963,0.003052017305095046,0.008354754478411488,0.02302051320525076,0.07099202810434732
pi_c,0.0021696224836620453,0.003255820979516649,0.00013729934537246832,0.0002880705826857186,0.0007957257862725958,0.0025419925989965675,0.013751891288399511
pyr_c,0.0008353309750869453,0.0010785304821042284,6.16479373732083e-05,0.00015581443610693263,0.0003825207117652801,0.000993124497845338,0.005026242978333941
