,mean,std,min,25%,50%,75%,max
_13dpg_c,0.00015193711912309303,0.00016628523625474088,1.1066083916227344e-05,3.884828091777454e-05,9.604630399485085e-05,0.00018353197809666281,0.0007341363136659516
_2pg_c,0.0012649223220894444,0.0014365021704157242,0.00012485400764735978,0.0003870018175031637,0.0007156819400204643,0.0015541473350208553,0.007170699168225497
_3pg_c,0.0131404977863354,0.013073164568379031,0.0013324930999811615,0.004341116853027585,0.008079882956651924,0.01771961554776431,0.06241319692215616
adp_c,0.0049005890352475405,0.003450793404672737,0.0005127421469317266,0.0018941905721722612,0.004139353457927381,0.007005241577660327,0.01319694858705068
amp_c,0.007997153352492688,0.007619446715797182,0.00032177878901534497,0.0017062000712083252,0.006262819527279439,0.01112228709494701,0.026850534723050084
atp_c,0.014450362561478953,0.019140809070201666,0.0017509406279515487,0.003940058217008132,0.00785265253822991,0.018219716238506222,0.1387937356356398
dhap_c,0.018318823193199385,0.014817553692583321,0.0014598569902423964,0.0074104127340224,0.013372062459955678,0.026884705339158217,0.0683030406331711
f6p_c,0.0030575866309533596,0.002186176589491251,0.00024549518531861053,0.0010647212392942797,0.002618607987996297,0.004448479036747963,0.008761990954512215
fdp_c,0.030488478120061755,0.024107243262110715,0.0010473636672861315,0.011910557214013845,0.0242882357535749,0.043722001592483364,0.10356833906547247
g3p_c,9.040865745487481e-05,6.811506988978224e-05,2.1146211891156392e-05,4.188076243742009e-05,7.236340892949297e-05,0.00010336327053791407,0.00036651784140724196
g6p_c,0.003094592822126461,0.0037834674490680345,0.00036190750833383533,0.0006870564256127102,0.0014863596093753037,0.003863328695568698,0.018691593426955862
gdp_c,0.0014477434141228999,0.001843191851761355,0.00012808409812261907,0.0004131443363310706,0.0006862914061105936,0.0016665273718666062,0.008619270953313165
h2o_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
h_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
lac__D_c,0.009063763841344963,0.007587865143502707,0.0006046057101203717,0.003225454084139119,0.007130294886375158,0.013479683854842788,0.041299800370149825
nad_c,0.11283378350230709,0.08320520494801673,0.0035334756906426025,0.03598329532402621,0.09547606905309948,0.18076886433551184,0.3233968469314129
nadh_c,3.550168481921243e-05,4.0145669728982276e-05,1.9697861058847446e-06,6.649648544678263e-06,2.07399713237025e-05,4.5712488320428885e-05,0.00017760491062300288
pep_c,0.0010030642990955137,0.0014210232615706948,0.00019921327939884098,0.00032576912915819266,0.0005154034146995937,0.0008477256346418746,0.008729573093189925
pi_c,0.00154334720336283,0.0017117317248159143,7.452990085818794e-05,0.00039397037792829277,0.0008754533153016004,0.0018524322926343243,0.006556497245157561
pyr_c,0.0009540088709084521,0.0014086054179363648,0.00012159325570481637,0.0002286819877642822,0.0003760502443745148,0.001101468588575144,0.008437949920853543
