,model,init_conds,value
0,Glu_Growth_Glycolysis_C0,f6p_c,0.0024060529658938043
1,Glu_Growth_Glycolysis_C0,E_ENO_c_2pg,1.699011376071811e-06
2,Glu_Growth_Glycolysis_C0,E_ENO_c,2.0258310676656203e-07
3,Glu_Growth_Glycolysis_C0,_3pg_c,0.0089853802039339
4,Glu_Growth_Glycolysis_C0,E_PGMd_c_2pg,2.846449903076718e-07
5,Glu_Growth_Glycolysis_C0,E_PGMd_c_3pg,7.410636841785369e-07
6,Glu_Growth_Glycolysis_C0,_2pg_c,0.001085938608584335
7,Glu_Growth_Glycolysis_C0,E_PGMd_c,2.485887463708695e-08
8,Glu_Growth_Glycolysis_C0,pep_c,0.0006135248628868631
9,Glu_Growth_Glycolysis_C0,E_PGMi_c_2pg,8.371832154838366e-06
10,Glu_Growth_Glycolysis_C0,E_PGMi_c_3pg,4.2455289377688396e-05
11,Glu_Growth_Glycolysis_C0,pyr_c,0.0004607180307700708
12,Glu_Growth_Glycolysis_C0,E_PGMi_c,1.0126402662875336e-06
13,Glu_Growth_Glycolysis_C0,E_PGK_c_3pg_atp,2.4334268929867417e-06
14,Glu_Growth_Glycolysis_C0,amp_c,0.025584242741163988
15,Glu_Growth_Glycolysis_C0,E_PGK_c_13dpg_adp,6.195163582650604e-08
16,Glu_Growth_Glycolysis_C0,E_PGK_c_3pg,3.340712733645889e-07
17,Glu_Growth_Glycolysis_C0,lac__D_c,0.0029608142315287883
18,Glu_Growth_Glycolysis_C0,E_PGK_c_atp,6.722342778240861e-07
19,Glu_Growth_Glycolysis_C0,E_PGK_c_13dpg,4.3231605226153134e-14
20,Glu_Growth_Glycolysis_C0,gdp_c,0.0008743879877912376
21,Glu_Growth_Glycolysis_C0,E_PGK_c_adp,3.5074509051403396e-09
22,Glu_Growth_Glycolysis_C0,E_PGI_c,6.324894527536509e-07
23,Glu_Growth_Glycolysis_C0,E_PGK_c,4.14199856540206e-07
24,Glu_Growth_Glycolysis_C0,E_GAPD_c_nad_g3p_pi,1.646388377919879e-06
25,Glu_Growth_Glycolysis_C0,E_PGI_c_g6p,5.662373528670772e-06
26,Glu_Growth_Glycolysis_C0,nadh_c,1.022737596541852e-05
