,model,parameters,value
0,Glu_Growth_Glycolysis_C0,kf_SK_f6p_c,737.4381258994181
1,Glu_Growth_Glycolysis_C0,v_SK_nad_c,2.086880848223976
2,Glu_Growth_Glycolysis_C0,v_SK_g3p_c,-0.14151891343126202
3,Glu_Growth_Glycolysis_C0,kf_SK_pyr_c,2879.989672422875
4,Glu_Growth_Glycolysis_C0,v_SK_dhap_c,-1.8540377899756367e-05
5,Glu_Growth_Glycolysis_C0,v_SK_pi_c,1.780822680158399
6,Glu_Growth_Glycolysis_C0,v_SK_h2o_c,0.0
7,Glu_Growth_Glycolysis_C0,v_SK_h_c,0.0
8,Glu_Growth_Glycolysis_C0,v_SK_nadh_c,2.086880848223933
9,Glu_Growth_Glycolysis_C0,v_SK_atp_c,1.2627408764605146
10,Glu_Growth_Glycolysis_C0,v_SK_g6p_c,0.44074903582570313
11,Glu_Growth_Glycolysis_C0,v_SK_f6p_c,1.5549502494883345
12,Glu_Growth_Glycolysis_C0,kr_LDH_D5,10607973.434607612
13,Glu_Growth_Glycolysis_C0,kr_LDH_D4,140098854330.02203
14,Glu_Growth_Glycolysis_C0,kr_LDH_D3,9019902.315499187
15,Glu_Growth_Glycolysis_C0,kf_SK_amp_c,4.929075640118787
16,Glu_Growth_Glycolysis_C0,kr_LDH_D2,451149679.2571601
17,Glu_Growth_Glycolysis_C0,v_SK_adp_c,1.311016117161594
18,Glu_Growth_Glycolysis_C0,v_SK__3pg_c,-0.12458887012593275
19,Glu_Growth_Glycolysis_C0,v_SK_pep_c,1.6636096743783488
20,Glu_Growth_Glycolysis_C0,v_SK_pyr_c,0.5478600439715301
21,Glu_Growth_Glycolysis_C0,v_PFK15_84,1.3145657010693463e-25
22,Glu_Growth_Glycolysis_C0,kf_SK__3pg_c,26.30501881062467
23,Glu_Growth_Glycolysis_C0,v_PFK14_84,1.0799805508262895e-25
24,Glu_Growth_Glycolysis_C0,v_PFK13_84,1.471240103277843e-23
25,Glu_Growth_Glycolysis_C0,v_PFK12_84,1.550963648536927e-25
26,Glu_Growth_Glycolysis_C0,v_PFK11_84,2.3200441985345732e-26
27,Glu_Growth_Glycolysis_C0,v_PFK15,0.9912796422144652
28,Glu_Growth_Glycolysis_C0,v_PFK14,0.9912796422177053
29,Glu_Growth_Glycolysis_C0,v_PFK13,0.9912796422144652
30,Glu_Growth_Glycolysis_C0,v_PFK12,0.9912796422177053
31,Glu_Growth_Glycolysis_C0,v_PFK11,0.9912796422144278
32,Glu_Growth_Glycolysis_C0,v_PGI3,-0.44074903582570335
33,Glu_Growth_Glycolysis_C0,kf_SK_pep_c,8872.47421664362
34,Glu_Growth_Glycolysis_C0,v_PGI2,-0.44074903582568936
35,Glu_Growth_Glycolysis_C0,v_PGI1,-0.44074903582566094
36,Glu_Growth_Glycolysis_C0,v_SK_lac__D_c,1.5874707873205054e-05
37,Glu_Growth_Glycolysis_C0,v_SK_amp_c,0.04827524070108551
38,Glu_Growth_Glycolysis_C0,kr_LDH_D1,11756904.974688612
39,Glu_Growth_Glycolysis_C0,kr_PPS6,20522582933.13328
40,Glu_Growth_Glycolysis_C0,kr_PPS5,24665635.655600313
41,Glu_Growth_Glycolysis_C0,kr_PPS4,3587878689178.755
42,Glu_Growth_Glycolysis_C0,kr_PGMi2,443556728038.73865
43,Glu_Growth_Glycolysis_C0,amp_b,0.01579026832775407
44,Glu_Growth_Glycolysis_C0,kr_PGMi1,126930.7312070972
45,Glu_Growth_Glycolysis_C0,kr_PGK9,208405.17292881114
46,Glu_Growth_Glycolysis_C0,kr_PGK8,3599998082450.041
47,Glu_Growth_Glycolysis_C0,kr_PGK7,4199839.901257909
48,Glu_Growth_Glycolysis_C0,kf_PGI2,6124818.254912563
49,Glu_Growth_Glycolysis_C0,kr_PGK6,0.16092661342612438
