,model,init_conds,value
0,HEX1,_23dpg_c,3.1
1,HEX1,adp_c,0.29
2,HEX1,atp_c,1.6
3,HEX1,g6p_c,0.0486
4,HEX1,glc__D_c,1.0
5,HEX1,h_c,8.99757e-05
6,HEX1,hex1_AG_c,1.1720872154107623e-08
7,HEX1,hex1_A_PI_c,3.3558742570818916e-06
8,HEX1,hex1_A_c,8.962635964175788e-06
9,HEX1,hex1_G_CI_c,3.221648232724589e-08
10,HEX1,hex1_G_PI_c,8.435973563492064e-09
11,HEX1,hex1_G_c,5.715827509672656e-08
12,HEX1,hex1_c,1.157198019683411e-05
